category_name,sample_count,baseline_gIoU_macro_mean_iou,public_v2_gIoU_macro_mean_iou,delta_gIoU_macro,baseline_mDice,public_v2_mDice,delta_mDice,baseline_cIoU_pooled,public_v2_cIoU_pooled,delta_cIoU_pooled,baseline_mean_pred_area,public_v2_mean_pred_area,mean_gt_area,delta_mean_pred_area,user_focus_overlap
harbor,27,0.34425401988413135,0.36595928665003724,0.021705266765905895,0.42039968397257443,0.44260348602806104,0.02220380205548661,0.33872018901316825,0.37399815113692875,0.0352779621237605,16022.370370444445,16854.407407485185,12107.44444451852,832.03703704074,True
ship,182,0.6837689448180954,0.7044434898554249,0.020674545037329572,0.7437130399735427,0.7651569026950048,0.021443862721462148,0.8149003756585571,0.8323708881556265,0.017470512497069435,21886.417582505495,21379.395604484616,21274.560439648354,-507.02197802087903,True
golffield,112,0.7859234398887066,0.8062720302629938,0.020348590374287157,0.8593587708467562,0.8774327999141952,0.018074029067439046,0.8132963234984429,0.8188321094943094,0.00553578599586646,95991.85714295447,97508.63392867144,96630.14285724018,1516.7767857169674,False
basketballcourt,121,0.6963768706096137,0.7150473317998713,0.018670461190257615,0.7563630232611,0.776652795204278,0.020289771943177937,0.7532316577160767,0.7636006193845051,0.010368961668428378,22300.446281082644,22201.495867859503,21417.983471165287,-98.95041322314137,False
storagetank,110,0.7744459102030435,0.7858501788058971,0.011404268602853596,0.8132087260226786,0.825343706349376,0.012134980326697464,0.8806356227635656,0.873783352172468,-0.006852270591097498,17137.527272814546,17072.063636451818,17372.590909178183,-65.46363636272872,False
vehicle,558,0.5291116333553206,0.5404709479347897,0.011359314579469038,0.6214658134765083,0.6341044571404387,0.012638643663930416,0.5408644792756921,0.5606785304359984,0.019814051160306212,1134.2060932722222,1119.23297499319,1146.61469542276,-14.973118279032178,True
Expressway-Service-area,123,0.6932616855232159,0.7013232250153961,0.008061539492180247,0.7472857279565726,0.748723563851784,0.0014378358952114034,0.7451815928268445,0.7436831167185448,-0.0014984761082996734,71845.39837407236,69330.26016268456,71223.91869927561,-2515.138211387806,False
Expressway-toll-station,114,0.6828316276465365,0.6895335045908106,0.006701876944274154,0.7426939470009974,0.7520621812918032,0.0093682342908058,0.8495381802829467,0.85493300026337,0.005394819980423349,7878.596491312282,7908.807017629825,7999.105263242106,30.210526317543554,False
tenniscourt,104,0.7427263523057037,0.7480352291054392,0.0053088767997354624,0.7867213000384112,0.7897863837359167,0.0030650836975054663,0.7713014642035538,0.7546108008988268,-0.016690663304727016,12975.8269231625,13186.134615471154,12916.72115393173,210.3076923086537,False
bridge,269,0.5296742811857736,0.534383141433885,0.004708860248111346,0.6160147528451353,0.6180573211248013,0.0020425682796659794,0.6889614501043397,0.7005172219337893,0.011555771829449557,15957.479553986617,16341.79182164461,16262.334572573978,384.3122676579933,True
stadium,87,0.8511255489008298,0.8554532226585502,0.004327673757720363,0.8976086163258828,0.8999380593659115,0.002329443040028689,0.9118866909809938,0.9126205353707969,0.0007338443898030622,94273.5862069931,93566.03448285747,94899.0229886023,-707.5517241356283,False
dam,175,0.636877188562809,0.6408448275237664,0.00396763896095742,0.7461361234216922,0.7494063609599201,0.0032702375382278603,0.6177297345833296,0.6252711499926976,0.007541415409368035,23854.411428669715,23177.331428669142,24245.47428581257,-677.0800000005729,False
baseballfield,228,0.8519882592591581,0.8551801837829619,0.0031919245238037908,0.888296905411801,0.891140907677296,0.0028440022654950825,0.8903877906524799,0.8927699523160496,0.0023821616635697485,24343.42105272588,24414.473684304827,23926.333333427632,71.0526315789466,False
windmill,260,0.6139854828490924,0.6169392845900831,0.0029538017409906914,0.7513892006039925,0.7526262337712512,0.0012370331672586499,0.6358334448806029,0.6366227700453952,0.0007893251647923538,1984.0000000988462,1962.5307693284617,2037.0538462526922,-21.469230770384456,False
airplane,99,0.7230848921672007,0.7251234820035233,0.0020385898363225463,0.8070883481395594,0.8083691251442388,0.0012807770046793232,0.7550590059825187,0.7628779244796147,0.007818918497095928,13069.565656659595,12915.757575851514,13140.90909100303,-153.8080808080813,False
airport,196,0.5770367248736403,0.5769827758988282,-5.394897481214578e-05,0.6895270327614231,0.6894176914097745,-0.00010934135164863967,0.5405941646549325,0.535762782666266,-0.0048313819886665055,57061.59183683367,55659.8826531602,59522.60714295612,-1401.709183673469,True
groundtrackfield,254,0.791331029533351,0.7895829253799648,-0.0017481041533862207,0.8352720381642473,0.8334039677861577,-0.0018680703780896701,0.947734049173909,0.9497987062289419,0.0020646570550328924,82400.64566938228,82568.29133867323,82378.0669292248,167.64566929094144,False
trainstation,128,0.6509630760172024,0.6454243049613646,-0.005538771055837777,0.7557563564922053,0.7531845214136654,-0.0025718350785398636,0.6200074323405776,0.6191799068569844,-0.0008275254835932166,23486.562500098436,23231.32812509844,25579.906250098436,-255.23437499999636,False
overpass,226,0.651191454751377,0.6426996053955617,-0.008491849355815262,0.7229045870285976,0.7144726352802349,-0.008431951748362754,0.8095020765762284,0.7930427459952221,-0.01645933058100635,28978.85840716991,28489.389380618584,28231.97787619646,-489.46902655132726,False
chimney,107,0.8248223436451106,0.8065573565906118,-0.01826498705449886,0.8774551179842688,0.8627817442869886,-0.014673373697280168,0.8662757732498858,0.8454409421645434,-0.020834831085342453,42773.61682252523,43410.21495336542,43265.96261691776,636.5981308401897,False
