category_name,matched_concepts_joined,sample_count,mean_delta_iou,mean_delta_precision,mean_delta_recall,mean_delta_pred_area,positive_sample_count,negative_sample_count
vehicle,vehicle,547,0.012751,0.014447,0.013174,-19.017429,248,216
bridge,bridge,261,0.006760,-0.006093,0.009586,507.245536,120,104
windmill,,260,0.002988,0.003016,-0.001519,-21.804688,134,123
groundtrackfield,,240,0.002661,0.006369,-0.000570,186.417040,117,106
baseballfield,,227,0.003354,0.004523,-0.000123,75.000000,92,125
airport,airport,196,-0.000054,0.003317,-0.007971,-1408.897436,103,92
overpass,,191,-0.000965,-0.000080,-0.010885,-208.142857,83,92
ship,ship,176,0.024130,0.032637,0.018060,-571.559006,88,74
dam,,174,0.004208,0.006466,-0.007245,-693.309942,84,87
trainstation,,128,-0.005582,0.003505,-0.006247,-257.244094,56,71
basketballcourt,,114,0.024723,0.033040,0.022066,14.850467,48,59
Expressway-toll-station,,110,0.008177,0.023785,-0.000703,32.712766,52,43
Expressway-Service-area,,107,0.008846,0.002196,-0.014611,-3186.291667,47,49
chimney,,107,-0.018792,-0.017885,-0.003896,654.961538,44,60
golffield,,106,0.012514,0.000490,0.015873,1614.632075,55,51
storagetank,,106,0.003552,0.005537,-0.000102,-99.578947,59,36
tenniscourt,,100,0.007551,0.007394,0.001684,255.269663,57,32
airplane,,98,0.002147,0.005787,-0.000935,-161.989362,47,47
stadium,,85,0.003350,0.024390,-0.009002,-719.000000,48,37
overpass,vehicle,33,-0.058078,-0.049012,-0.050422,-2346.709677,13,18
harbor,harbor,22,0.031904,0.016573,0.093592,1267.562500,9,7
Expressway-Service-area,vehicle,14,0.005232,-0.001432,0.007766,-209.642857,7,7
groundtrackfield,airport,12,-0.089805,-0.142749,-0.023735,80.909091,5,6
vehicle,"bridge,vehicle",8,0.038301,0.062801,0.053312,18.000000,5,3
basketballcourt,vehicle,7,-0.064370,-0.087145,-0.151721,-2260.333333,2,4
golffield,airport,6,0.158760,0.216082,0.106107,-212.000000,4,2
bridge,"bridge,vehicle",4,0.016706,0.020345,-0.006229,-462.000000,1,3
harbor,"harbor,ship",4,0.010555,-0.092415,0.103701,504.500000,3,1
storagetank,vehicle,3,0.297162,0.315276,0.469772,775.000000,3,0
tenniscourt,vehicle,3,-0.067071,0.017571,-0.080947,-404.000000,0,2
vehicle,"ship,vehicle",3,0.038553,0.036986,0.100559,76.666667,1,2
Expressway-Service-area,bridge,2,0.069076,0.147247,-0.055724,-543.000000,1,0
Expressway-toll-station,vehicle,2,0.002940,-0.004085,0.006999,164.500000,2,0
bridge,"bridge,harbor",2,-0.103731,-0.044980,-0.046748,-3917.500000,1,1
groundtrackfield,bridge,2,-0.049618,-0.068095,0.017895,121.000000,0,1
ship,"bridge,ship",2,-0.373131,-0.470814,-0.399825,-692.500000,1,1
ship,"harbor,ship",2,0.427379,0.550538,0.656410,465.000000,1,0
ship,"ship,vehicle",2,0.172512,0.274510,0.317073,663.000000,1,0
Expressway-toll-station,airport,1,,,,,0,0
Expressway-toll-station,bridge,1,-0.018676,-0.036339,0.016129,40.000000,0,1
airplane,airport,1,,,,,0,0
baseballfield,airport,1,,,,,0,0
bridge,"airport,bridge",1,-0.091277,0.172897,-0.136543,-660.000000,0,1
bridge,"bridge,ship",1,-0.015698,-0.078054,0.091864,100.000000,0,1
dam,bridge,1,-0.025263,-0.033599,-0.001661,67.000000,0,1
harbor,"bridge,harbor",1,0.033351,0.011960,0.041771,166.000000,1,0
overpass,bridge,1,,,,,0,0
overpass,harbor,1,0.050061,0.088437,-0.027759,-1447.000000,1,0
stadium,airport,1,,,,,0,0
stadium,bridge,1,0.091767,0.143450,-0.020150,-442.000000,1,0
storagetank,bridge,1,0.025546,0.044394,-0.014541,-66.000000,1,0
tenniscourt,bridge,1,0.014265,0.011806,0.004663,-39.000000,1,0
