group_name,sample_count,baseline_mean_iou,v2_mean_iou,delta_mean_iou,baseline_mean_precision,v2_mean_precision,delta_precision,baseline_mean_recall,v2_mean_recall,delta_recall,baseline_mean_pred_area,v2_mean_pred_area,delta_pred_area,positive_sample_count,negative_sample_count,positive_ratio,negative_ratio,sum_positive_delta,sum_negative_delta
all,3480,0.664690,0.669801,0.005111,0.754938,0.761665,0.006727,0.759295,0.761746,0.002450,29236.507759,29064.062069,-172.445690,1647,1566,0.473276,0.450000,97.470413,-79.684733
has_matched_prior=true,1327,0.563335,0.571410,0.008075,0.667314,0.675375,0.008061,0.678044,0.686718,0.008674,17847.605878,17591.680482,-255.925396,624,548,0.470234,0.412962,46.396664,-35.681564
has_matched_prior=false,2153,0.727160,0.730444,0.003284,0.808945,0.814850,0.005905,0.809375,0.807989,-0.001386,36256.049234,36135.056201,-120.993033,1023,1018,0.475151,0.472829,51.073749,-44.003169
is_category_in_library=true,1232,0.555655,0.565349,0.009694,0.663079,0.672627,0.009548,0.673318,0.683277,0.009958,16660.270292,16457.735390,-202.534903,583,506,0.473214,0.410714,43.414666,-31.471250
is_category_in_library=false,2248,0.724446,0.727045,0.002599,0.805281,0.810462,0.005181,0.806415,0.804750,-0.001665,36128.822954,35972.867438,-155.955516,1064,1060,0.473310,0.471530,54.055747,-48.213483
category_in_library_and_hit_prior,1232,0.555655,0.565349,0.009694,0.663079,0.672627,0.009548,0.673318,0.683277,0.009958,16660.270292,16457.735390,-202.534903,583,506,0.473214,0.410714,43.414666,-31.471250
category_in_library_but_no_hit_prior,0,,,,,,,,,,,,,0,0,,,,
category_out_library_but_hit_prior,95,0.662940,0.650011,-0.012930,0.722239,0.711019,-0.011220,0.739325,0.731341,-0.007984,33245.473684,32297.157895,-948.315789,41,42,0.431579,0.442105,2.981998,-4.210314
area_bucket=tiny,986,0.601567,0.590249,-0.011318,0.730181,0.715600,-0.014580,0.754092,0.734280,-0.019813,1390.367140,1313.013185,-77.353955,488,498,0.494929,0.505071,28.410421,-39.569676
area_bucket=small,554,0.707625,0.708980,0.001355,0.798746,0.798206,-0.000540,0.829776,0.823794,-0.005982,9448.519856,9251.265343,-197.254513,265,289,0.478339,0.521661,13.558824,-12.808197
area_bucket=medium,1001,0.808509,0.808852,0.000342,0.888208,0.888996,0.000788,0.891960,0.889681,-0.002278,28716.231768,28256.778222,-459.453546,513,488,0.512488,0.487512,17.952381,-17.609807
area_bucket=large,609,0.851616,0.848410,-0.003206,0.945196,0.945464,0.000268,0.896987,0.890039,-0.006948,109019.239737,108120.523810,-898.715928,318,291,0.522167,0.477833,7.744423,-9.697053
