                                                                                                                            
{'loss_mask': 96.2531967163086, 'loss_dice': 49.28431701660156, 'loss_llm': 5.53125, 'loss_attention': 2.83062481880188, 'epoch': 0}
{'loss_mask': 68.24032592773438, 'loss_dice': 48.752723693847656, 'loss_llm': 6.21875, 'loss_attention': 2.598437547683716, 'epoch': 0.0}
{'loss_mask': 15.197799682617188, 'loss_dice': 49.64925765991211, 'loss_llm': 7.09375, 'loss_attention': 2.892812490463257, 'epoch': 0.0}
{'loss_mask': 32.71001052856445, 'loss_dice': 49.91030502319336, 'loss_llm': 6.6875, 'loss_attention': 2.892812490463257, 'epoch': 0.0}
{'loss_mask': 22.852407455444336, 'loss_dice': 47.10980987548828, 'loss_llm': 6.5, 'loss_attention': 2.8293750286102295, 'epoch': 0.0}
{'loss_mask': 43.50654602050781, 'loss_dice': 46.30245590209961, 'loss_llm': 6.40625, 'loss_attention': 2.792187452316284, 'epoch': 0.0}
{'loss_mask': 33.76709747314453, 'loss_dice': 49.450191497802734, 'loss_llm': 5.65625, 'loss_attention': 2.804999828338623, 'epoch': 0.0}
{'loss_mask': 34.24138641357422, 'loss_dice': 49.5321044921875, 'loss_llm': 6.65625, 'loss_attention': 2.692812442779541, 'epoch': 0.0}
{'loss_mask': 3.281959056854248, 'loss_dice': 49.62323760986328, 'loss_llm': 6.09375, 'loss_attention': 2.692812442779541, 'epoch': 0.0}
{'loss_mask': 32.186038970947266, 'loss_dice': 49.936370849609375, 'loss_llm': 6.09375, 'loss_attention': 2.818125009536743, 'epoch': 0.0}
{'loss': 90.1002, 'grad_norm': 1401.3875030104093, 'learning_rate': 6.666666666666667e-07, 'epoch': 0.0}
{'loss_mask': 6.713221073150635, 'loss_dice': 48.992427825927734, 'loss_llm': 6.625, 'loss_attention': 3.0459375381469727, 'epoch': 0.0}
{'loss_mask': 22.587486267089844, 'loss_dice': 48.5449333190918, 'loss_llm': 6.1875, 'loss_attention': 2.78125, 'epoch': 0.0}
{'loss_mask': 40.022621154785156, 'loss_dice': 49.88311767578125, 'loss_llm': 6.0, 'loss_attention': 2.7849998474121094, 'epoch': 0.0}
{'loss_mask': 13.929739952087402, 'loss_dice': 44.4298210144043, 'loss_llm': 6.78125, 'loss_attention': 2.8006248474121094, 'epoch': 0.0}
{'loss_mask': 12.773213386535645, 'loss_dice': 19.933055877685547, 'loss_llm': 5.84375, 'loss_attention': 2.791874885559082, 'epoch': 0.0}
{'loss_mask': 12.068378448486328, 'loss_dice': 49.34370803833008, 'loss_llm': 6.625, 'loss_attention': 2.909062385559082, 'epoch': 0.0}
{'loss_mask': 3.7622013092041016, 'loss_dice': 49.73369216918945, 'loss_llm': 6.5, 'loss_attention': 2.8056249618530273, 'epoch': 0.0}
{'loss_mask': 4.140955924987793, 'loss_dice': 47.96211242675781, 'loss_llm': 6.09375, 'loss_attention': 2.8240623474121094, 'epoch': 0.0}
{'loss_mask': 43.351444244384766, 'loss_dice': 40.81663513183594, 'loss_llm': 6.09375, 'loss_attention': 2.643125057220459, 'epoch': 0.0}
{'loss_mask': 36.65427017211914, 'loss_dice': 49.852935791015625, 'loss_llm': 6.21875, 'loss_attention': 2.8037500381469727, 'epoch': 0.0}
{'loss': 82.4941, 'grad_norm': 723.941721557017, 'learning_rate': 1.3333333333333334e-06, 'epoch': 0.0}
{'loss_mask': 2.6022872924804688, 'loss_dice': 49.189613342285156, 'loss_llm': 7.125, 'loss_attention': 2.8037500381469727, 'epoch': 0.0}
{'loss_mask': 22.34718132019043, 'loss_dice': 49.837005615234375, 'loss_llm': 6.9375, 'loss_attention': 2.7362499237060547, 'epoch': 0.01}
{'loss_mask': 46.05246353149414, 'loss_dice': 38.435699462890625, 'loss_llm': 6.25, 'loss_attention': 2.7578125, 'epoch': 0.01}
{'loss_mask': 18.39455795288086, 'loss_dice': 49.73490905761719, 'loss_llm': 6.1875, 'loss_attention': 2.723749876022339, 'epoch': 0.01}
{'loss_mask': 0.5740224123001099, 'loss_dice': 44.40628433227539, 'loss_llm': 6.96875, 'loss_attention': 2.7540624141693115, 'epoch': 0.01}
{'loss_mask': 16.330781936645508, 'loss_dice': 48.533653259277344, 'loss_llm': 7.34375, 'loss_attention': 2.82281231880188, 'epoch': 0.01}
{'loss_mask': 1.2201359272003174, 'loss_dice': 48.48740005493164, 'loss_llm': 6.84375, 'loss_attention': 2.82281231880188, 'epoch': 0.01}
{'loss_mask': 8.597535133361816, 'loss_dice': 49.56675720214844, 'loss_llm': 6.9375, 'loss_attention': 2.833124876022339, 'epoch': 0.01}
{'loss_mask': 16.31992530822754, 'loss_dice': 49.509029388427734, 'loss_llm': 7.09375, 'loss_attention': 2.8168749809265137, 'epoch': 0.01}
{'loss_mask': 11.237065315246582, 'loss_dice': 49.32460021972656, 'loss_llm': 6.28125, 'loss_attention': 2.7378125190734863, 'epoch': 0.01}
{'loss': 77.0297, 'grad_norm': 684.060285086638, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.01}
{'loss_mask': 34.52337646484375, 'loss_dice': 49.734928131103516, 'loss_llm': 5.78125, 'loss_attention': 2.810624837875366, 'epoch': 0.01}
{'loss_mask': 103.99246215820312, 'loss_dice': 48.38552474975586, 'loss_llm': 6.34375, 'loss_attention': 2.8143749237060547, 'epoch': 0.01}
{'loss_mask': 82.28215789794922, 'loss_dice': 49.046051025390625, 'loss_llm': 6.46875, 'loss_attention': 2.645937442779541, 'epoch': 0.01}
{'loss_mask': 19.03455352783203, 'loss_dice': 49.94564437866211, 'loss_llm': 5.21875, 'loss_attention': 2.7434375286102295, 'epoch': 0.01}
{'loss_mask': 28.234050750732422, 'loss_dice': 49.46471405029297, 'loss_llm': 6.3125, 'loss_attention': 2.801874876022339, 'epoch': 0.01}
{'loss_mask': 4.004603862762451, 'loss_dice': 49.6614990234375, 'loss_llm': 6.375, 'loss_attention': 2.7981250286102295, 'epoch': 0.01}
{'loss_mask': 15.894140243530273, 'loss_dice': 49.531551361083984, 'loss_llm': 6.21875, 'loss_attention': 2.7693748474121094, 'epoch': 0.01}
{'loss_mask': 3.458397626876831, 'loss_dice': 49.58491897583008, 'loss_llm': 6.71875, 'loss_attention': 2.840625047683716, 'epoch': 0.01}
{'loss_mask': 20.662052154541016, 'loss_dice': 49.762264251708984, 'loss_llm': 6.40625, 'loss_attention': 2.840625047683716, 'epoch': 0.01}
{'loss_mask': 5.878943920135498, 'loss_dice': 49.79909896850586, 'loss_llm': 6.375, 'loss_attention': 3.140937328338623, 'epoch': 0.01}
{'loss': 82.5916, 'grad_norm': 793.0295426204183, 'learning_rate': 2.666666666666667e-06, 'epoch': 0.01}
{'loss_mask': 1.0510448217391968, 'loss_dice': 47.39618682861328, 'loss_llm': 6.96875, 'loss_attention': 3.140937328338623, 'epoch': 0.01}
{'loss_mask': 38.08713150024414, 'loss_dice': 32.45625305175781, 'loss_llm': 6.15625, 'loss_attention': 2.716249942779541, 'epoch': 0.01}
{'loss_mask': 4.085624694824219, 'loss_dice': 49.188255310058594, 'loss_llm': 7.0, 'loss_attention': 2.865000009536743, 'epoch': 0.01}
