                                                                                                                                                                                         
{'loss_mask': 1.7882421016693115, 'loss_dice': 5.149876594543457, 'loss_llm': 6.377696990966797e-06, 'loss_attention': -0.22812499105930328, 'epoch': 8.87}
{'loss_mask': 2.8452398777008057, 'loss_dice': 8.069586753845215, 'loss_llm': 5.53131103515625e-05, 'loss_attention': -0.7495703101158142, 'epoch': 8.87}
{'loss_mask': 1.914071798324585, 'loss_dice': 1.7908785343170166, 'loss_llm': 2.47955322265625e-05, 'loss_attention': 0.07326721400022507, 'epoch': 8.87}
{'loss_mask': 0.39742282032966614, 'loss_dice': 11.224531173706055, 'loss_llm': 3.123283386230469e-05, 'loss_attention': 2.075624942779541, 'epoch': 8.87}
{'loss_mask': 0.5997449159622192, 'loss_dice': 10.029193878173828, 'loss_llm': 1.7434358596801758e-06, 'loss_attention': 0.44716307520866394, 'epoch': 8.87}
{'loss_mask': 2.708430767059326, 'loss_dice': 9.570446014404297, 'loss_llm': 2.1010637283325195e-06, 'loss_attention': -0.4371093511581421, 'epoch': 8.87}
{'loss_mask': 0.37451988458633423, 'loss_dice': 8.005696296691895, 'loss_llm': 1.1920928955078125e-05, 'loss_attention': -0.7125195264816284, 'epoch': 8.87}
{'loss_mask': 0.27310478687286377, 'loss_dice': 12.73657512664795, 'loss_llm': 5.4836273193359375e-05, 'loss_attention': -0.48744139075279236, 'epoch': 8.87}
{'loss_mask': 1.1822562217712402, 'loss_dice': 1.3775670528411865, 'loss_llm': 4.32133674621582e-06, 'loss_attention': -0.21403320133686066, 'epoch': 8.87}
{'loss_mask': 0.9761810898780823, 'loss_dice': 2.0168771743774414, 'loss_llm': 8.225440979003906e-06, 'loss_attention': -0.27449217438697815, 'epoch': 8.87}
{'loss': 10.8767, 'grad_norm': 19.26773420484291, 'learning_rate': 1.9163075803265655e-05, 'epoch': 8.87}
{'loss_mask': 8.332416534423828, 'loss_dice': 21.97100830078125, 'loss_llm': 5.3942203521728516e-06, 'loss_attention': -0.45890623331069946, 'epoch': 8.87}
{'loss_mask': 2.7702088356018066, 'loss_dice': 14.321022033691406, 'loss_llm': 6.735324859619141e-06, 'loss_attention': -0.440673828125, 'epoch': 8.87}
{'loss_mask': 1.8077739477157593, 'loss_dice': 33.72608184814453, 'loss_llm': 6.377696990966797e-06, 'loss_attention': 0.2675878703594208, 'epoch': 8.87}
{'loss_mask': 3.822422981262207, 'loss_dice': 3.2592098712921143, 'loss_llm': 3.719329833984375e-05, 'loss_attention': 0.25834959745407104, 'epoch': 8.87}
{'loss_mask': 6.815077781677246, 'loss_dice': 4.849990367889404, 'loss_llm': 1.8477439880371094e-05, 'loss_attention': 0.31650876998901367, 'epoch': 8.87}
{'loss_mask': 2.0361061096191406, 'loss_dice': 3.205662488937378, 'loss_llm': 7.420778274536133e-06, 'loss_attention': -0.07840331643819809, 'epoch': 8.87}
{'loss_mask': 9.873652458190918, 'loss_dice': 6.266909599304199, 'loss_llm': 1.71661376953125e-05, 'loss_attention': -0.17689453065395355, 'epoch': 8.87}
{'loss_mask': 11.894830703735352, 'loss_dice': 9.467447280883789, 'loss_llm': 2.6226043701171875e-06, 'loss_attention': 0.22064849734306335, 'epoch': 8.87}
{'loss_mask': 3.151577949523926, 'loss_dice': 1.2152061462402344, 'loss_llm': 2.872943878173828e-05, 'loss_attention': 0.18477538228034973, 'epoch': 8.87}
{'loss_mask': 1.4965887069702148, 'loss_dice': 3.6057488918304443, 'loss_llm': 4.589557647705078e-06, 'loss_attention': -0.01506835874170065, 'epoch': 8.87}
{'loss': 20.246, 'grad_norm': 246.05692718063074, 'learning_rate': 1.9137587825178243e-05, 'epoch': 8.87}
{'loss_mask': 0.40707454085350037, 'loss_dice': 3.0871496200561523, 'loss_llm': 8.463859558105469e-06, 'loss_attention': -0.47734373807907104, 'epoch': 8.87}
{'loss_mask': 0.2223774641752243, 'loss_dice': 10.66954231262207, 'loss_llm': 2.4080276489257812e-05, 'loss_attention': 2.0824999809265137, 'epoch': 8.87}
{'loss_mask': 1.4254851341247559, 'loss_dice': 49.121002197265625, 'loss_llm': 2.7179718017578125e-05, 'loss_attention': 2.109062433242798, 'epoch': 8.87}
{'loss_mask': 0.31295275688171387, 'loss_dice': 6.808187007904053, 'loss_llm': 0.0001544952392578125, 'loss_attention': -0.626757800579071, 'epoch': 8.87}
{'loss_mask': 0.9091142416000366, 'loss_dice': 2.030066728591919, 'loss_llm': 2.47955322265625e-05, 'loss_attention': 1.2574999332427979, 'epoch': 8.87}
{'loss_mask': 0.6373847723007202, 'loss_dice': 2.273439407348633, 'loss_llm': 4.38690185546875e-05, 'loss_attention': -0.7294530868530273, 'epoch': 8.87}
{'loss_mask': 1.6727182865142822, 'loss_dice': 49.26512145996094, 'loss_llm': 3.218650817871094e-05, 'loss_attention': 2.2646875381469727, 'epoch': 8.87}
{'loss_mask': 0.874844491481781, 'loss_dice': 13.365784645080566, 'loss_llm': 1.2159347534179688e-05, 'loss_attention': -0.7593749761581421, 'epoch': 8.87}
{'loss_mask': 1.6717509031295776, 'loss_dice': 0.7496675848960876, 'loss_llm': 2.2351741790771484e-06, 'loss_attention': 0.0981738269329071, 'epoch': 8.87}
{'loss_mask': 2.4766573905944824, 'loss_dice': 11.29603099822998, 'loss_llm': 1.3470649719238281e-05, 'loss_attention': 0.8808202743530273, 'epoch': 8.87}
{'loss': 13.2519, 'grad_norm': 130.44399535928426, 'learning_rate': 1.9112112796385695e-05, 'epoch': 8.87}
{'loss_mask': 1.7675906419754028, 'loss_dice': 2.1807632446289062, 'loss_llm': 1.2755393981933594e-05, 'loss_attention': 0.11115722358226776, 'epoch': 8.87}
{'loss_mask': 0.6018527150154114, 'loss_dice': 14.426229476928711, 'loss_llm': 4.673004150390625e-05, 'loss_attention': 2.033750057220459, 'epoch': 8.87}
{'loss_mask': 0.6096969842910767, 'loss_dice': 18.19394874572754, 'loss_llm': 1.1205673217773438e-05, 'loss_attention': 2.033750057220459, 'epoch': 8.87}
{'loss_mask': 18.642786026000977, 'loss_dice': 20.24005889892578, 'loss_llm': 4.458427429199219e-05, 'loss_attention': -0.06046874821186066, 'epoch': 8.88}
{'loss_mask': 2.263810157775879, 'loss_dice': 4.692540645599365, 'loss_llm': 3.6209821701049805e-06, 'loss_attention': -0.5370312333106995, 'epoch': 8.88}
{'loss_mask': 0.9456319808959961, 'loss_dice': 9.456711769104004, 'loss_llm': 3.427267074584961e-06, 'loss_attention': 0.5007128715515137, 'epoch': 8.88}
{'loss_mask': 1.7841897010803223, 'loss_dice': 7.356912612915039, 'loss_llm': 1.5139579772949219e-05, 'loss_attention': -0.05859375, 'epoch': 8.88}
{'loss_mask': 0.2536466419696808, 'loss_dice': 9.360301971435547, 'loss_llm': 8.153915405273438e-05, 'loss_attention': -0.31041014194488525, 'epoch': 8.88}
{'loss_mask': 8.995257377624512, 'loss_dice': 9.491259574890137, 'loss_llm': 1.4662742614746094e-05, 'loss_attention': -0.09961150586605072, 'epoch': 8.88}
{'loss_mask': 0.7165998816490173, 'loss_dice': 21.907270431518555, 'loss_llm': 8.58306884765625e-06, 'loss_attention': -0.024541014805436134, 'epoch': 8.88}
{'loss': 15.483, 'grad_norm': 167.22364414718763, 'learning_rate': 1.908665072757687e-05, 'epoch': 8.88}
{'loss_mask': 0.7723308205604553, 'loss_dice': 1.8194568157196045, 'loss_llm': 3.62396240234375e-05, 'loss_attention': -0.5445703268051147, 'epoch': 8.88}
{'loss_mask': 6.349697113037109, 'loss_dice': 7.388075351715088, 'loss_llm': 1.9818544387817383e-06, 'loss_attention': -0.024687498807907104, 'epoch': 8.88}
{'loss_mask': 16.49388885498047, 'loss_dice': 9.831830978393555, 'loss_llm': 2.8371810913085938e-05, 'loss_attention': 0.41157713532447815, 'epoch': 8.88}
{'loss_mask': 1.3267663717269897, 'loss_dice': 49.07880401611328, 'loss_llm': 9.179115295410156e-06, 'loss_attention': 0.41157713532447815, 'epoch': 8.88}
{'loss_mask': 0.3662678897380829, 'loss_dice': 5.488302230834961, 'loss_llm': 7.82012939453125e-05, 'loss_attention': -0.8679296970367432, 'epoch': 8.88}
{'loss_mask': 3.9910688400268555, 'loss_dice': 4.056713104248047, 'loss_llm': 2.2202730178833008e-06, 'loss_attention': -0.1943359375, 'epoch': 8.88}
{'loss_mask': 1.0748261213302612, 'loss_dice': 9.231735229492188, 'loss_llm': 4.506111145019531e-05, 'loss_attention': -0.6438280940055847, 'epoch': 8.88}
{'loss_mask': 2.6624817848205566, 'loss_dice': 49.45880889892578, 'loss_llm': 4.32133674621582e-06, 'loss_attention': 2.059375047683716, 'epoch': 8.88}
{'loss_mask': 3.2328741550445557, 'loss_dice': 36.367286682128906, 'loss_llm': 6.884336471557617e-06, 'loss_attention': 2.041562557220459, 'epoch': 8.88}
{'loss_mask': 20.444759368896484, 'loss_dice': 39.69902038574219, 'loss_llm': 4.363059997558594e-05, 'loss_attention': 0.783496081829071, 'epoch': 8.88}
{'loss': 20.4536, 'grad_norm': 289.3413370083124, 'learning_rate': 1.906120162943515e-05, 'epoch': 8.88}
{'loss_mask': 0.2935413420200348, 'loss_dice': 6.059741497039795, 'loss_llm': 5.1975250244140625e-05, 'loss_attention': 2.0503125190734863, 'epoch': 8.88}
{'loss_mask': 1.890945315361023, 'loss_dice': 2.223085403442383, 'loss_llm': 4.470348358154297e-06, 'loss_attention': -0.18296875059604645, 'epoch': 8.88}
{'loss_mask': 1.0457305908203125, 'loss_dice': 23.008014678955078, 'loss_llm': 4.267692565917969e-05, 'loss_attention': 2.085624933242798, 'epoch': 8.88}
{'loss_mask': 0.5582020282745361, 'loss_dice': 4.747817039489746, 'loss_llm': 2.7179718017578125e-05, 'loss_attention': 0.058667294681072235, 'epoch': 8.88}
{'loss_mask': 0.6761175990104675, 'loss_dice': 9.843704223632812, 'loss_llm': 4.100799560546875e-05, 'loss_attention': 0.33394041657447815, 'epoch': 8.88}
{'loss_mask': 6.304775238037109, 'loss_dice': 45.8354377746582, 'loss_llm': 5.662441253662109e-06, 'loss_attention': 2.0257811546325684, 'epoch': 8.88}
{'loss_mask': 0.38912248611450195, 'loss_dice': 6.732457637786865, 'loss_llm': 5.185604095458984e-06, 'loss_attention': -0.4253906011581421, 'epoch': 8.88}
{'loss_mask': 3.700986623764038, 'loss_dice': 49.662269592285156, 'loss_llm': 1.4185905456542969e-05, 'loss_attention': 2.0484373569488525, 'epoch': 8.88}
{'loss_mask': 0.33637458086013794, 'loss_dice': 5.151224136352539, 'loss_llm': 2.5272369384765625e-05, 'loss_attention': -0.49895018339157104, 'epoch': 8.88}
{'loss_mask': 14.490320205688477, 'loss_dice': 5.688551902770996, 'loss_llm': 9.489059448242188e-05, 'loss_attention': -0.06943237036466599, 'epoch': 8.88}
{'loss': 20.1175, 'grad_norm': 73.0330050857018, 'learning_rate': 1.903576551263852e-05, 'epoch': 8.88}
{'loss_mask': 0.9309795498847961, 'loss_dice': 14.355085372924805, 'loss_llm': 0.000522613525390625, 'loss_attention': -0.2864453196525574, 'epoch': 8.88}
{'loss_mask': 1.9943695068359375, 'loss_dice': 2.0779592990875244, 'loss_llm': 3.546476364135742e-06, 'loss_attention': 0.030820311978459358, 'epoch': 8.88}
{'loss_mask': 1.374466061592102, 'loss_dice': 2.4176738262176514, 'loss_llm': 1.0251998901367188e-05, 'loss_attention': -0.31074216961860657, 'epoch': 8.88}
{'loss_mask': 1.9185712337493896, 'loss_dice': 4.461155891418457, 'loss_llm': 3.600120544433594e-05, 'loss_attention': 1.750732421875, 'epoch': 8.88}
{'loss_mask': 0.9277330040931702, 'loss_dice': 1.5881812572479248, 'loss_llm': 2.9802322387695312e-05, 'loss_attention': -0.16722655296325684, 'epoch': 8.88}
{'loss_mask': 2.181884527206421, 'loss_dice': 10.261425971984863, 'loss_llm': 5.054473876953125e-05, 'loss_attention': -0.8499218821525574, 'epoch': 8.88}
{'loss_mask': 1.8583980798721313, 'loss_dice': 40.514854431152344, 'loss_llm': 1.7404556274414062e-05, 'loss_attention': -0.8499218821525574, 'epoch': 8.88}
{'loss_mask': 1.0763013362884521, 'loss_dice': 13.63517951965332, 'loss_llm': 7.581710815429688e-05, 'loss_attention': 2.055000066757202, 'epoch': 8.88}
{'loss_mask': 0.42442092299461365, 'loss_dice': 13.971698760986328, 'loss_llm': 5.340576171875e-05, 'loss_attention': 2.135937452316284, 'epoch': 8.88}
{'loss_mask': 3.8417809009552, 'loss_dice': 1.5830347537994385, 'loss_llm': 5.364418029785156e-06, 'loss_attention': 0.10605468600988388, 'epoch': 8.88}
{'loss': 16.9831, 'grad_norm': 52.106494207405916, 'learning_rate': 1.9010342387859502e-05, 'epoch': 8.88}
{'loss_mask': 1.0141565799713135, 'loss_dice': 2.5359346866607666, 'loss_llm': 7.104873657226562e-05, 'loss_attention': -0.44921875, 'epoch': 8.88}
{'loss_mask': 7.0471320152282715, 'loss_dice': 3.320018768310547, 'loss_llm': 1.0967254638671875e-05, 'loss_attention': -0.18433593213558197, 'epoch': 8.88}
{'loss_mask': 18.776079177856445, 'loss_dice': 48.552642822265625, 'loss_llm': 4.76837158203125e-06, 'loss_attention': -0.3201562464237213, 'epoch': 8.88}
{'loss_mask': 0.6725443601608276, 'loss_dice': 11.081377983093262, 'loss_llm': 6.705522537231445e-06, 'loss_attention': 0.030166015028953552, 'epoch': 8.88}
{'loss_mask': 0.6559881567955017, 'loss_dice': 5.490043640136719, 'loss_llm': 3.933906555175781e-06, 'loss_attention': -0.36870115995407104, 'epoch': 8.89}
{'loss_mask': 7.721879959106445, 'loss_dice': 49.21211624145508, 'loss_llm': 4.172325134277344e-06, 'loss_attention': 0.7999511361122131, 'epoch': 8.89}
{'loss_mask': 11.855172157287598, 'loss_dice': 12.201807022094727, 'loss_llm': 3.933906555175781e-05, 'loss_attention': 0.9169726371765137, 'epoch': 8.89}
{'loss_mask': 0.74675053358078, 'loss_dice': 2.9317100048065186, 'loss_llm': 3.457069396972656e-05, 'loss_attention': -0.30391600728034973, 'epoch': 8.89}
{'loss_mask': 0.33517056703567505, 'loss_dice': 8.817593574523926, 'loss_llm': 3.719329833984375e-05, 'loss_attention': 0.08825194835662842, 'epoch': 8.89}
{'loss_mask': 12.341995239257812, 'loss_dice': 6.453086853027344, 'loss_llm': 5.692243576049805e-06, 'loss_attention': 0.6180859208106995, 'epoch': 8.89}
{'loss': 21.5912, 'grad_norm': 73.01830898244134, 'learning_rate': 1.8984932265765172e-05, 'epoch': 8.89}
{'loss_mask': 3.9582884311676025, 'loss_dice': 9.03516960144043, 'loss_llm': 1.2516975402832031e-05, 'loss_attention': 0.4522729516029358, 'epoch': 8.89}
{'loss_mask': 2.0941731929779053, 'loss_dice': 23.6381893157959, 'loss_llm': 4.231929779052734e-06, 'loss_attention': 1.0775121450424194, 'epoch': 8.89}
{'loss_mask': 42.514076232910156, 'loss_dice': 49.549503326416016, 'loss_llm': 1.138448715209961e-05, 'loss_attention': 1.98046875, 'epoch': 8.89}
{'loss_mask': 0.1527758240699768, 'loss_dice': 13.367297172546387, 'loss_llm': 1.609325408935547e-05, 'loss_attention': 1.98046875, 'epoch': 8.89}
{'loss_mask': 0.19267091155052185, 'loss_dice': 8.928930282592773, 'loss_llm': 7.12275505065918e-06, 'loss_attention': 2.228593587875366, 'epoch': 8.89}
{'loss_mask': 1.5563145875930786, 'loss_dice': 1.6717942953109741, 'loss_llm': 2.384185791015625e-05, 'loss_attention': 0.3060504198074341, 'epoch': 8.89}
{'loss_mask': 0.41168078780174255, 'loss_dice': 12.991832733154297, 'loss_llm': 3.62396240234375e-05, 'loss_attention': -0.9013476371765137, 'epoch': 8.89}
{'loss_mask': 1.0368380546569824, 'loss_dice': 5.301995754241943, 'loss_llm': 4.76837158203125e-06, 'loss_attention': -0.6052343845367432, 'epoch': 8.89}
