                                                                                                                            
{'loss_mask': 5.1672563552856445, 'loss_dice': 49.59934997558594, 'loss_llm': 7.5625, 'loss_attention': 2.9809374809265137, 'epoch': 0}
{'loss_mask': 47.530181884765625, 'loss_dice': 48.4779167175293, 'loss_llm': 6.53125, 'loss_attention': 2.784374952316284, 'epoch': 0.0}
{'loss_mask': 23.899898529052734, 'loss_dice': 26.34336280822754, 'loss_llm': 6.3125, 'loss_attention': 2.7671873569488525, 'epoch': 0.0}
{'loss_mask': 8.596810340881348, 'loss_dice': 49.87924575805664, 'loss_llm': 6.25, 'loss_attention': 2.8268749713897705, 'epoch': 0.0}
{'loss_mask': 22.41530418395996, 'loss_dice': 44.673187255859375, 'loss_llm': 6.71875, 'loss_attention': 2.8478124141693115, 'epoch': 0.0}
{'loss_mask': 61.522823333740234, 'loss_dice': 48.71073913574219, 'loss_llm': 6.875, 'loss_attention': 2.755312442779541, 'epoch': 0.0}
{'loss_mask': 20.994123458862305, 'loss_dice': 49.88652420043945, 'loss_llm': 6.96875, 'loss_attention': 2.7649998664855957, 'epoch': 0.0}
{'loss_mask': 7.914312362670898, 'loss_dice': 49.78929138183594, 'loss_llm': 6.84375, 'loss_attention': 2.802187442779541, 'epoch': 0.0}
{'loss_mask': 76.41934967041016, 'loss_dice': 48.834922790527344, 'loss_llm': 6.46875, 'loss_attention': 2.789374828338623, 'epoch': 0.0}
{'loss_mask': 32.24626159667969, 'loss_dice': 49.488243103027344, 'loss_llm': 6.25, 'loss_attention': 2.8215625286102295, 'epoch': 0.0}
{'loss': 86.7311, 'grad_norm': 2738.23724090883, 'learning_rate': 2.2222222222222225e-06, 'epoch': 0.0}
{'loss_mask': 38.42115783691406, 'loss_dice': 48.161720275878906, 'loss_llm': 6.90625, 'loss_attention': 2.7568750381469727, 'epoch': 0.0}
{'loss_mask': 19.081207275390625, 'loss_dice': 49.812171936035156, 'loss_llm': 6.46875, 'loss_attention': 2.7415623664855957, 'epoch': 0.0}
{'loss_mask': 1.894531011581421, 'loss_dice': 48.532318115234375, 'loss_llm': 6.25, 'loss_attention': 3.3759374618530273, 'epoch': 0.0}
{'loss_mask': 5.232492446899414, 'loss_dice': 49.6347541809082, 'loss_llm': 6.15625, 'loss_attention': 2.771562337875366, 'epoch': 0.0}
{'loss_mask': 140.75643920898438, 'loss_dice': 37.17741394042969, 'loss_llm': 6.125, 'loss_attention': 2.7256250381469727, 'epoch': 0.0}
{'loss_mask': 30.52080535888672, 'loss_dice': 48.73662567138672, 'loss_llm': 6.0625, 'loss_attention': 2.914374828338623, 'epoch': 0.0}
{'loss_mask': 57.63992691040039, 'loss_dice': 49.74265670776367, 'loss_llm': 7.09375, 'loss_attention': 2.7674999237060547, 'epoch': 0.0}
{'loss_mask': 26.844411849975586, 'loss_dice': 49.953765869140625, 'loss_llm': 7.0625, 'loss_attention': 2.7799999713897705, 'epoch': 0.0}
{'loss_mask': 12.001408576965332, 'loss_dice': 49.8092155456543, 'loss_llm': 6.0, 'loss_attention': 2.7890625, 'epoch': 0.0}
{'loss_mask': 6.731271743774414, 'loss_dice': 49.920570373535156, 'loss_llm': 6.15625, 'loss_attention': 2.856562376022339, 'epoch': 0.0}
{'loss': 91.3365, 'grad_norm': 326.1166603715225, 'learning_rate': 4.444444444444445e-06, 'epoch': 0.0}
{'loss_mask': 149.28012084960938, 'loss_dice': 49.40510559082031, 'loss_llm': 6.1875, 'loss_attention': 2.834062337875366, 'epoch': 0.0}
{'loss_mask': 48.86780548095703, 'loss_dice': 49.93340301513672, 'loss_llm': 6.40625, 'loss_attention': 2.734999895095825, 'epoch': 0.0}
{'loss_mask': 52.82126235961914, 'loss_dice': 37.944923400878906, 'loss_llm': 6.90625, 'loss_attention': 2.6346874237060547, 'epoch': 0.0}
{'loss_mask': 9.171369552612305, 'loss_dice': 49.24779510498047, 'loss_llm': 6.5, 'loss_attention': 2.7925000190734863, 'epoch': 0.0}
{'loss_mask': 6.9185566902160645, 'loss_dice': 46.40802001953125, 'loss_llm': 6.96875, 'loss_attention': 3.021250009536743, 'epoch': 0.0}
{'loss_mask': 38.724365234375, 'loss_dice': 49.97669219970703, 'loss_llm': 6.125, 'loss_attention': 3.013124942779541, 'epoch': 0.0}
{'loss_mask': 3.9989099502563477, 'loss_dice': 49.894493103027344, 'loss_llm': 5.75, 'loss_attention': 2.9028124809265137, 'epoch': 0.0}
{'loss_mask': 13.257545471191406, 'loss_dice': 49.55379104614258, 'loss_llm': 6.03125, 'loss_attention': 2.8046875, 'epoch': 0.0}
{'loss_mask': 18.815811157226562, 'loss_dice': 49.65508270263672, 'loss_llm': 6.34375, 'loss_attention': 2.7615623474121094, 'epoch': 0.0}
{'loss_mask': 7.313267707824707, 'loss_dice': 49.302467346191406, 'loss_llm': 6.40625, 'loss_attention': 2.8318748474121094, 'epoch': 0.0}
{'loss': 92.2447, 'grad_norm': 453.4876587522807, 'learning_rate': 6.666666666666667e-06, 'epoch': 0.0}
{'loss_mask': 50.24493408203125, 'loss_dice': 45.033409118652344, 'loss_llm': 6.46875, 'loss_attention': 1.9793750047683716, 'epoch': 0.0}
{'loss_mask': 37.23626708984375, 'loss_dice': 46.69216537475586, 'loss_llm': 7.0625, 'loss_attention': 2.7412500381469727, 'epoch': 0.0}
{'loss_mask': 28.755285263061523, 'loss_dice': 43.423770904541016, 'loss_llm': 5.90625, 'loss_attention': 2.8062498569488525, 'epoch': 0.0}
{'loss_mask': 71.04847717285156, 'loss_dice': 48.987754821777344, 'loss_llm': 5.71875, 'loss_attention': 2.7149999141693115, 'epoch': 0.0}
{'loss_mask': 2.313692569732666, 'loss_dice': 49.41454315185547, 'loss_llm': 6.40625, 'loss_attention': 2.817812442779541, 'epoch': 0.0}
{'loss_mask': 28.630115509033203, 'loss_dice': 48.677345275878906, 'loss_llm': 6.6875, 'loss_attention': 2.804374933242798, 'epoch': 0.0}
{'loss_mask': 97.70467376708984, 'loss_dice': 49.8392219543457, 'loss_llm': 5.59375, 'loss_attention': 2.703749895095825, 'epoch': 0.0}
