                                                                                                                      
{'loss_mask': 1.5471069812774658, 'loss_dice': 18.610509872436523, 'loss_llm': 7.5625, 'loss_attention': 2.9809374809265137, 'epoch': 0}
{'loss_mask': 14.004701614379883, 'loss_dice': 49.907508850097656, 'loss_llm': 6.53125, 'loss_attention': 2.784374952316284, 'epoch': 0.0}
{'loss_mask': 125.38893127441406, 'loss_dice': 45.56460952758789, 'loss_llm': 6.34375, 'loss_attention': 2.767812490463257, 'epoch': 0.0}
{'loss_mask': 18.912811279296875, 'loss_dice': 49.672420501708984, 'loss_llm': 6.1875, 'loss_attention': 2.8274998664855957, 'epoch': 0.0}
{'loss_mask': 17.292600631713867, 'loss_dice': 31.514902114868164, 'loss_llm': 6.75, 'loss_attention': 2.849062442779541, 'epoch': 0.0}
{'loss_mask': 18.215656280517578, 'loss_dice': 41.6501579284668, 'loss_llm': 6.8125, 'loss_attention': 2.758124828338623, 'epoch': 0.0}
{'loss_mask': 31.814044952392578, 'loss_dice': 49.906822204589844, 'loss_llm': 7.0, 'loss_attention': 2.7668750286102295, 'epoch': 0.0}
{'loss_mask': 27.23655891418457, 'loss_dice': 49.82158660888672, 'loss_llm': 6.875, 'loss_attention': 2.807499885559082, 'epoch': 0.0}
{'loss_mask': 30.041728973388672, 'loss_dice': 22.97602653503418, 'loss_llm': 6.5, 'loss_attention': 2.789374828338623, 'epoch': 0.0}
{'loss_mask': 3.562664747238159, 'loss_dice': 39.95854568481445, 'loss_llm': 6.21875, 'loss_attention': 2.8203125, 'epoch': 0.0}
{'loss': 78.4544, 'grad_norm': 319.4151905668291, 'learning_rate': 2.2222222222222225e-06, 'epoch': 0.0}
{'loss_mask': 15.227402687072754, 'loss_dice': 46.679039001464844, 'loss_llm': 6.9375, 'loss_attention': 2.7537498474121094, 'epoch': 0.0}
{'loss_mask': 31.941991806030273, 'loss_dice': 31.600784301757812, 'loss_llm': 6.46875, 'loss_attention': 2.7412500381469727, 'epoch': 0.0}
{'loss_mask': 21.372922897338867, 'loss_dice': 49.51615905761719, 'loss_llm': 6.25, 'loss_attention': 3.388437509536743, 'epoch': 0.0}
{'loss_mask': 1.235494613647461, 'loss_dice': 19.978559494018555, 'loss_llm': 6.125, 'loss_attention': 2.7699999809265137, 'epoch': 0.0}
{'loss_mask': 127.59456634521484, 'loss_dice': 49.96177673339844, 'loss_llm': 6.0625, 'loss_attention': 2.7259373664855957, 'epoch': 0.0}
{'loss_mask': 34.034854888916016, 'loss_dice': 49.802711486816406, 'loss_llm': 6.125, 'loss_attention': 2.911875009536743, 'epoch': 0.0}
{'loss_mask': 39.81654357910156, 'loss_dice': 49.323524475097656, 'loss_llm': 7.09375, 'loss_attention': 2.7696874141693115, 'epoch': 0.0}
{'loss_mask': 20.075536727905273, 'loss_dice': 48.05952072143555, 'loss_llm': 7.09375, 'loss_attention': 2.779062509536743, 'epoch': 0.0}
{'loss_mask': 33.54893493652344, 'loss_dice': 31.988048553466797, 'loss_llm': 6.0, 'loss_attention': 2.787187337875366, 'epoch': 0.0}
