                                                                                                                           
{'loss_mask': 6.18868350982666, 'loss_dice': 49.8455696105957, 'loss_llm': 5.3125, 'loss_attention': 2.931874990463257, 'epoch': 0}
{'loss_mask': 6.571356296539307, 'loss_dice': 49.56597900390625, 'loss_llm': 3.484375, 'loss_attention': 1.452187418937683, 'epoch': 0.0}
{'loss_mask': 21.819135665893555, 'loss_dice': 32.12357711791992, 'loss_llm': 4.28125, 'loss_attention': 2.931874990463257, 'epoch': 0.0}
{'loss_mask': 35.38189697265625, 'loss_dice': 37.98931121826172, 'loss_llm': 2.890625, 'loss_attention': 3.010624885559082, 'epoch': 0.0}
{'loss_mask': 14.169761657714844, 'loss_dice': 49.65645980834961, 'loss_llm': 3.796875, 'loss_attention': 2.963124990463257, 'epoch': 0.0}
{'loss_mask': 5.537348747253418, 'loss_dice': 49.786720275878906, 'loss_llm': 5.125, 'loss_attention': 2.9706249237060547, 'epoch': 0.0}
{'loss_mask': 38.23380661010742, 'loss_dice': 46.16840744018555, 'loss_llm': 4.40625, 'loss_attention': 3.0168750286102295, 'epoch': 0.0}
{'loss_mask': 6.093800067901611, 'loss_dice': 35.691734313964844, 'loss_llm': 3.09375, 'loss_attention': 2.992968797683716, 'epoch': 0.0}
{'loss_mask': 7.948734760284424, 'loss_dice': 49.69258117675781, 'loss_llm': 4.875, 'loss_attention': 3.0853123664855957, 'epoch': 0.0}
{'loss_mask': 12.544801712036133, 'loss_dice': 34.56883239746094, 'loss_llm': 5.03125, 'loss_attention': 2.883124828338623, 'epoch': 0.0}
{'loss': 66.0114, 'grad_norm': 453.0860672929592, 'learning_rate': 2.2222222222222225e-06, 'epoch': 0.0}
{'loss_mask': 9.631006240844727, 'loss_dice': 49.60668182373047, 'loss_llm': 4.46875, 'loss_attention': 3.054374933242798, 'epoch': 0.0}
{'loss_mask': 35.16429138183594, 'loss_dice': 42.58646011352539, 'loss_llm': 5.5, 'loss_attention': 2.9106249809265137, 'epoch': 0.0}
{'loss_mask': 10.529399871826172, 'loss_dice': 39.71974182128906, 'loss_llm': 3.34375, 'loss_attention': 3.142031192779541, 'epoch': 0.0}
{'loss_mask': 12.155381202697754, 'loss_dice': 48.474422454833984, 'loss_llm': 3.734375, 'loss_attention': 2.80328106880188, 'epoch': 0.0}
{'loss_mask': 12.560784339904785, 'loss_dice': 49.38278579711914, 'loss_llm': 3.6875, 'loss_attention': 2.9515624046325684, 'epoch': 0.0}
{'loss_mask': 22.966032028198242, 'loss_dice': 49.92972946166992, 'loss_llm': 3.78125, 'loss_attention': 3.0509374141693115, 'epoch': 0.0}
{'loss_mask': 15.952383041381836, 'loss_dice': 49.43730163574219, 'loss_llm': 5.125, 'loss_attention': 2.9521875381469727, 'epoch': 0.0}
{'loss_mask': 7.919622898101807, 'loss_dice': 49.83816909790039, 'loss_llm': 4.0, 'loss_attention': 2.943125009536743, 'epoch': 0.0}
{'loss_mask': 13.107667922973633, 'loss_dice': 49.26962661743164, 'loss_llm': 4.28125, 'loss_attention': 0.2793591320514679, 'epoch': 0.0}
{'loss_mask': 5.085720062255859, 'loss_dice': 49.166358947753906, 'loss_llm': 4.09375, 'loss_attention': 3.068437337875366, 'epoch': 0.0}
{'loss': 69.1655, 'grad_norm': 356.3265068273387, 'learning_rate': 4.444444444444445e-06, 'epoch': 0.0}
{'loss_mask': 5.246164798736572, 'loss_dice': 49.42778396606445, 'loss_llm': 5.5, 'loss_attention': 1.2613085508346558, 'epoch': 0.0}
{'loss_mask': 10.77675724029541, 'loss_dice': 49.20878982543945, 'loss_llm': 3.171875, 'loss_attention': 1.4690624475479126, 'epoch': 0.0}
{'loss_mask': 2.4319584369659424, 'loss_dice': 49.275390625, 'loss_llm': 4.0625, 'loss_attention': 3.088124990463257, 'epoch': 0.0}
{'loss_mask': 12.764578819274902, 'loss_dice': 49.43947982788086, 'loss_llm': 4.15625, 'loss_attention': 2.9128124713897705, 'epoch': 0.0}
{'loss_mask': 14.936141014099121, 'loss_dice': 49.84836959838867, 'loss_llm': 2.5625, 'loss_attention': 2.9765625, 'epoch': 0.0}
{'loss_mask': 64.08130645751953, 'loss_dice': 49.899818420410156, 'loss_llm': 5.6875, 'loss_attention': 0.8592968583106995, 'epoch': 0.0}
{'loss_mask': 45.761863708496094, 'loss_dice': 48.92097854614258, 'loss_llm': 4.0, 'loss_attention': 3.0346875190734863, 'epoch': 0.0}
{'loss_mask': 57.71474075317383, 'loss_dice': 48.72321701049805, 'loss_llm': 2.234375, 'loss_attention': 2.9731252193450928, 'epoch': 0.0}
{'loss_mask': 10.321565628051758, 'loss_dice': 48.814395904541016, 'loss_llm': 3.421875, 'loss_attention': 2.96343731880188, 'epoch': 0.0}
{'loss_mask': 37.184696197509766, 'loss_dice': 49.6323127746582, 'loss_llm': 4.5, 'loss_attention': 2.942187547683716, 'epoch': 0.0}
