                                                                                                                           
{'loss_mask': 3.2151989936828613, 'loss_dice': 49.577003479003906, 'loss_llm': 7.5625, 'loss_attention': 2.9809374809265137, 'epoch': 0}
{'loss_mask': 16.21373748779297, 'loss_dice': 49.804359436035156, 'loss_llm': 6.53125, 'loss_attention': 2.784374952316284, 'epoch': 0.0}
{'loss_mask': 150.7319793701172, 'loss_dice': 45.67448425292969, 'loss_llm': 6.34375, 'loss_attention': 2.768749952316284, 'epoch': 0.0}
{'loss_mask': 5.428525924682617, 'loss_dice': 49.19929885864258, 'loss_llm': 6.1875, 'loss_attention': 2.825312376022339, 'epoch': 0.0}
{'loss_mask': 5.121671676635742, 'loss_dice': 11.943500518798828, 'loss_llm': 6.75, 'loss_attention': 2.846874952316284, 'epoch': 0.0}
{'loss_mask': 60.682159423828125, 'loss_dice': 48.64356231689453, 'loss_llm': 6.8125, 'loss_attention': 2.7571873664855957, 'epoch': 0.0}
{'loss_mask': 24.657129287719727, 'loss_dice': 49.85615921020508, 'loss_llm': 7.03125, 'loss_attention': 2.765937328338623, 'epoch': 0.0}
{'loss_mask': 26.091995239257812, 'loss_dice': 49.92118453979492, 'loss_llm': 6.875, 'loss_attention': 2.8059375286102295, 'epoch': 0.0}
{'loss_mask': 51.447349548339844, 'loss_dice': 47.35528564453125, 'loss_llm': 6.46875, 'loss_attention': 2.789374828338623, 'epoch': 0.0}
{'loss_mask': 60.63644027709961, 'loss_dice': 49.66341781616211, 'loss_llm': 6.21875, 'loss_attention': 2.8190624713897705, 'epoch': 0.0}
{'loss': 95.0789, 'grad_norm': 4266.123675979167, 'learning_rate': 6.666666666666667e-08, 'epoch': 0.0}
{'loss_mask': 35.6594352722168, 'loss_dice': 49.46193313598633, 'loss_llm': 6.9375, 'loss_attention': 2.752500057220459, 'epoch': 0.0}
{'loss_mask': 28.80375099182129, 'loss_dice': 44.65509796142578, 'loss_llm': 6.46875, 'loss_attention': 2.7431249618530273, 'epoch': 0.0}
{'loss_mask': 4.146703720092773, 'loss_dice': 49.59428787231445, 'loss_llm': 6.25, 'loss_attention': 3.388437509536743, 'epoch': 0.0}
{'loss_mask': 1.8825749158859253, 'loss_dice': 48.84914779663086, 'loss_llm': 6.15625, 'loss_attention': 2.7699999809265137, 'epoch': 0.0}
{'loss_mask': 137.22869873046875, 'loss_dice': 49.957035064697266, 'loss_llm': 6.0625, 'loss_attention': 2.7256250381469727, 'epoch': 0.0}
{'loss_mask': 11.37066650390625, 'loss_dice': 21.573320388793945, 'loss_llm': 6.0625, 'loss_attention': 2.9128124713897705, 'epoch': 0.0}
{'loss_mask': 39.688926696777344, 'loss_dice': 47.54032516479492, 'loss_llm': 7.125, 'loss_attention': 2.7665624618530273, 'epoch': 0.0}
{'loss_mask': 23.398296356201172, 'loss_dice': 47.74356460571289, 'loss_llm': 7.125, 'loss_attention': 2.778437376022339, 'epoch': 0.0}
{'loss_mask': 23.406211853027344, 'loss_dice': 48.44259262084961, 'loss_llm': 6.03125, 'loss_attention': 2.7899999618530273, 'epoch': 0.0}
{'loss_mask': 16.323589324951172, 'loss_dice': 49.900474548339844, 'loss_llm': 6.21875, 'loss_attention': 2.857187509536743, 'epoch': 0.0}
{'loss': 87.2549, 'grad_norm': 777.6334359723658, 'learning_rate': 1.3333333333333334e-07, 'epoch': 0.0}
{'loss_mask': 131.53610229492188, 'loss_dice': 49.500244140625, 'loss_llm': 6.21875, 'loss_attention': 2.83843731880188, 'epoch': 0.0}
{'loss_mask': 32.60300827026367, 'loss_dice': 49.757320404052734, 'loss_llm': 6.4375, 'loss_attention': 2.7337498664855957, 'epoch': 0.0}
{'loss_mask': 51.79258346557617, 'loss_dice': 40.49043655395508, 'loss_llm': 6.96875, 'loss_attention': 2.6321873664855957, 'epoch': 0.0}
{'loss_mask': 8.335206985473633, 'loss_dice': 49.24251937866211, 'loss_llm': 6.53125, 'loss_attention': 2.792187452316284, 'epoch': 0.0}
{'loss_mask': 12.946721076965332, 'loss_dice': 46.90544891357422, 'loss_llm': 6.96875, 'loss_attention': 3.0149998664855957, 'epoch': 0.0}
{'loss_mask': 17.53522300720215, 'loss_dice': 49.40207290649414, 'loss_llm': 6.21875, 'loss_attention': 3.015312433242798, 'epoch': 0.0}
{'loss_mask': 6.756075859069824, 'loss_dice': 49.75423049926758, 'loss_llm': 5.84375, 'loss_attention': 2.903749942779541, 'epoch': 0.0}
{'loss_mask': 11.605326652526855, 'loss_dice': 49.75115966796875, 'loss_llm': 6.15625, 'loss_attention': 2.801562547683716, 'epoch': 0.0}
{'loss_mask': 6.567867279052734, 'loss_dice': 49.64109420776367, 'loss_llm': 6.46875, 'loss_attention': 2.7612500190734863, 'epoch': 0.0}
{'loss_mask': 8.200525283813477, 'loss_dice': 49.31605529785156, 'loss_llm': 6.59375, 'loss_attention': 2.831249952316284, 'epoch': 0.0}
{'loss': 86.437, 'grad_norm': 634.3671404993424, 'learning_rate': 2.0000000000000002e-07, 'epoch': 0.0}
{'loss_mask': 55.23417663574219, 'loss_dice': 39.341590881347656, 'loss_llm': 6.625, 'loss_attention': 1.9789061546325684, 'epoch': 0.0}
{'loss_mask': 7.7832794189453125, 'loss_dice': 49.24195861816406, 'loss_llm': 7.25, 'loss_attention': 2.7406249046325684, 'epoch': 0.0}
{'loss_mask': 37.321231842041016, 'loss_dice': 46.3272705078125, 'loss_llm': 6.09375, 'loss_attention': 2.8087499141693115, 'epoch': 0.0}
{'loss_mask': 16.173437118530273, 'loss_dice': 11.779393196105957, 'loss_llm': 5.84375, 'loss_attention': 2.7143750190734863, 'epoch': 0.0}
{'loss_mask': 14.885109901428223, 'loss_dice': 49.61825942993164, 'loss_llm': 6.625, 'loss_attention': 2.813124895095825, 'epoch': 0.0}
{'loss_mask': 82.47278594970703, 'loss_dice': 48.182682037353516, 'loss_llm': 6.90625, 'loss_attention': 2.8056249618530273, 'epoch': 0.0}
{'loss_mask': 87.95121765136719, 'loss_dice': 47.589473724365234, 'loss_llm': 5.84375, 'loss_attention': 2.7049999237060547, 'epoch': 0.0}
{'loss_mask': 5.075369834899902, 'loss_dice': 22.08356475830078, 'loss_llm': 6.9375, 'loss_attention': 2.8737499713897705, 'epoch': 0.0}
{'loss_mask': 56.525352478027344, 'loss_dice': 49.54404067993164, 'loss_llm': 6.34375, 'loss_attention': 2.904374837875366, 'epoch': 0.0}
{'loss_mask': 14.51838493347168, 'loss_dice': 49.91939163208008, 'loss_llm': 6.34375, 'loss_attention': 2.757499933242798, 'epoch': 0.0}
{'loss': 88.3482, 'grad_norm': 311.58155404217354, 'learning_rate': 2.6666666666666667e-07, 'epoch': 0.0}
{'loss_mask': 20.177722930908203, 'loss_dice': 47.71407699584961, 'loss_llm': 6.21875, 'loss_attention': 2.7899999618530273, 'epoch': 0.0}
{'loss_mask': 38.657325744628906, 'loss_dice': 49.823936462402344, 'loss_llm': 5.96875, 'loss_attention': 2.8315625190734863, 'epoch': 0.0}
{'loss_mask': 2.1403896808624268, 'loss_dice': 48.01347351074219, 'loss_llm': 6.40625, 'loss_attention': 2.728749990463257, 'epoch': 0.0}
{'loss_mask': 2.9025166034698486, 'loss_dice': 49.735450744628906, 'loss_llm': 6.96875, 'loss_attention': 2.987499952316284, 'epoch': 0.0}
{'loss_mask': 5.148474216461182, 'loss_dice': 49.70645523071289, 'loss_llm': 7.21875, 'loss_attention': 2.817499876022339, 'epoch': 0.0}
{'loss_mask': 23.58493423461914, 'loss_dice': 45.76335144042969, 'loss_llm': 6.875, 'loss_attention': 2.685312509536743, 'epoch': 0.0}
{'loss_mask': 356.8180847167969, 'loss_dice': 49.29864501953125, 'loss_llm': 6.03125, 'loss_attention': 2.4778125286102295, 'epoch': 0.0}
{'loss_mask': 11.87127685546875, 'loss_dice': 49.71878433227539, 'loss_llm': 7.09375, 'loss_attention': 2.750312328338623, 'epoch': 0.0}
{'loss_mask': 47.75644302368164, 'loss_dice': 49.79030990600586, 'loss_llm': 6.71875, 'loss_attention': 2.796875, 'epoch': 0.0}
{'loss_mask': 45.10935592651367, 'loss_dice': 25.326236724853516, 'loss_llm': 7.15625, 'loss_attention': 2.682812452316284, 'epoch': 0.0}
{'loss': 111.3262, 'grad_norm': 2514.056751857941, 'learning_rate': 3.3333333333333335e-07, 'epoch': 0.0}
{'loss_mask': 8.363749504089355, 'loss_dice': 49.75832748413086, 'loss_llm': 5.625, 'loss_attention': 2.682812452316284, 'epoch': 0.0}
{'loss_mask': 11.432357788085938, 'loss_dice': 49.46672439575195, 'loss_llm': 6.8125, 'loss_attention': 2.5780956745147705, 'epoch': 0.0}
{'loss_mask': 2.305206298828125, 'loss_dice': 48.80104064941406, 'loss_llm': 6.875, 'loss_attention': 2.7953124046325684, 'epoch': 0.0}
{'loss_mask': 8.585433959960938, 'loss_dice': 49.40501403808594, 'loss_llm': 6.15625, 'loss_attention': 2.7931249141693115, 'epoch': 0.0}
{'loss_mask': 36.391326904296875, 'loss_dice': 49.649017333984375, 'loss_llm': 6.6875, 'loss_attention': 2.8637499809265137, 'epoch': 0.0}
{'loss_mask': 28.282079696655273, 'loss_dice': 49.931697845458984, 'loss_llm': 6.4375, 'loss_attention': 1.698339819908142, 'epoch': 0.0}
{'loss_mask': 31.96747589111328, 'loss_dice': 49.6282958984375, 'loss_llm': 6.84375, 'loss_attention': 2.786562442779541, 'epoch': 0.0}
{'loss_mask': 23.588245391845703, 'loss_dice': 45.89468002319336, 'loss_llm': 5.9375, 'loss_attention': 2.8006248474121094, 'epoch': 0.0}
{'loss_mask': 5.83079195022583, 'loss_dice': 49.90747833251953, 'loss_llm': 7.4375, 'loss_attention': 2.767812490463257, 'epoch': 0.0}
{'loss_mask': 4.382608413696289, 'loss_dice': 48.95226287841797, 'loss_llm': 6.53125, 'loss_attention': 2.767812490463257, 'epoch': 0.0}
{'loss': 73.8951, 'grad_norm': 848.2644431011402, 'learning_rate': 4.0000000000000003e-07, 'epoch': 0.0}
{'loss_mask': 16.736656188964844, 'loss_dice': 48.96867370605469, 'loss_llm': 7.09375, 'loss_attention': 3.013749837875366, 'epoch': 0.0}
{'loss_mask': 7.744663238525391, 'loss_dice': 49.47516632080078, 'loss_llm': 5.84375, 'loss_attention': 2.778749942779541, 'epoch': 0.01}
{'loss_mask': 9.631294250488281, 'loss_dice': 49.19978332519531, 'loss_llm': 6.25, 'loss_attention': 2.935624837875366, 'epoch': 0.01}
{'loss_mask': 27.345325469970703, 'loss_dice': 49.480567932128906, 'loss_llm': 5.71875, 'loss_attention': 2.8165624141693115, 'epoch': 0.01}
{'loss_mask': 24.86328125, 'loss_dice': 48.36121368408203, 'loss_llm': 6.0, 'loss_attention': 2.969374895095825, 'epoch': 0.01}
{'loss_mask': 31.112043380737305, 'loss_dice': 47.64641189575195, 'loss_llm': 6.3125, 'loss_attention': 2.7903125286102295, 'epoch': 0.01}
{'loss_mask': 1.8498711585998535, 'loss_dice': 49.07783126831055, 'loss_llm': 6.5, 'loss_attention': 2.7359373569488525, 'epoch': 0.01}
{'loss_mask': 23.978681564331055, 'loss_dice': 46.71202087402344, 'loss_llm': 6.625, 'loss_attention': 2.8087499141693115, 'epoch': 0.01}
{'loss_mask': 36.644737243652344, 'loss_dice': 44.880977630615234, 'loss_llm': 6.8125, 'loss_attention': 2.794687509536743, 'epoch': 0.01}
