                                                                                                                           
{'loss_mask': 12.182806015014648, 'loss_dice': 49.82217025756836, 'loss_llm': 6.625, 'loss_attention': 2.966874837875366, 'epoch': 0}
{'loss_mask': 39.967098236083984, 'loss_dice': 48.851234436035156, 'loss_llm': 8.5, 'loss_attention': 2.8424999713897705, 'epoch': 0.0}
{'loss_mask': 94.71659851074219, 'loss_dice': 44.2542724609375, 'loss_llm': 7.9375, 'loss_attention': 2.762500047683716, 'epoch': 0.0}
{'loss_mask': 10.568873405456543, 'loss_dice': 49.8620491027832, 'loss_llm': 7.40625, 'loss_attention': 2.896250009536743, 'epoch': 0.0}
{'loss_mask': 52.95355987548828, 'loss_dice': 48.53617477416992, 'loss_llm': 7.28125, 'loss_attention': 2.861562490463257, 'epoch': 0.0}
{'loss_mask': 59.71318435668945, 'loss_dice': 48.60810852050781, 'loss_llm': 7.34375, 'loss_attention': 2.8581249713897705, 'epoch': 0.0}
{'loss_mask': 27.187088012695312, 'loss_dice': 49.7929573059082, 'loss_llm': 6.375, 'loss_attention': 2.7337498664855957, 'epoch': 0.0}
{'loss_mask': 35.520572662353516, 'loss_dice': 49.73361587524414, 'loss_llm': 8.5625, 'loss_attention': 2.8524999618530273, 'epoch': 0.0}
{'loss_mask': 46.811851501464844, 'loss_dice': 48.73100662231445, 'loss_llm': 7.5625, 'loss_attention': 2.840937376022339, 'epoch': 0.0}
{'loss_mask': 54.57670974731445, 'loss_dice': 49.584903717041016, 'loss_llm': 7.1875, 'loss_attention': 2.85406231880188, 'epoch': 0.0}
{'loss': 102.5225, 'grad_norm': 4096.836424303514, 'learning_rate': 2.2222222222222225e-06, 'epoch': 0.0}
{'loss_mask': 33.19419860839844, 'loss_dice': 48.00475311279297, 'loss_llm': 7.125, 'loss_attention': 2.8368749618530273, 'epoch': 0.0}
{'loss_mask': 20.489986419677734, 'loss_dice': 47.84196472167969, 'loss_llm': 7.40625, 'loss_attention': 2.8090624809265137, 'epoch': 0.0}
{'loss_mask': 7.088840484619141, 'loss_dice': 49.623268127441406, 'loss_llm': 6.59375, 'loss_attention': 3.075000047683716, 'epoch': 0.0}
{'loss_mask': 3.0638818740844727, 'loss_dice': 49.75312042236328, 'loss_llm': 6.125, 'loss_attention': 2.7906248569488525, 'epoch': 0.0}
{'loss_mask': 80.06818389892578, 'loss_dice': 49.76573944091797, 'loss_llm': 6.625, 'loss_attention': 2.8046875, 'epoch': 0.0}
{'loss_mask': 9.934721946716309, 'loss_dice': 48.874427795410156, 'loss_llm': 6.96875, 'loss_attention': 2.7987499237060547, 'epoch': 0.0}
{'loss_mask': 28.524690628051758, 'loss_dice': 46.03899383544922, 'loss_llm': 6.90625, 'loss_attention': 2.8690624237060547, 'epoch': 0.0}
{'loss_mask': 23.86760711669922, 'loss_dice': 47.02391815185547, 'loss_llm': 7.65625, 'loss_attention': 2.825312376022339, 'epoch': 0.0}
{'loss_mask': 7.65315580368042, 'loss_dice': 49.65155029296875, 'loss_llm': 8.375, 'loss_attention': 2.8168749809265137, 'epoch': 0.0}
{'loss_mask': 3.511824607849121, 'loss_dice': 47.11944580078125, 'loss_llm': 7.875, 'loss_attention': 2.883437395095825, 'epoch': 0.0}
{'loss': 80.126, 'grad_norm': 186.45195390695872, 'learning_rate': 4.444444444444445e-06, 'epoch': 0.0}
{'loss_mask': 98.38574981689453, 'loss_dice': 49.55476379394531, 'loss_llm': 7.03125, 'loss_attention': 2.8787498474121094, 'epoch': 0.0}
{'loss_mask': 43.06263732910156, 'loss_dice': 49.79502487182617, 'loss_llm': 6.96875, 'loss_attention': 2.794062376022339, 'epoch': 0.0}
{'loss_mask': 45.39496612548828, 'loss_dice': 41.42675018310547, 'loss_llm': 6.96875, 'loss_attention': 2.6496875286102295, 'epoch': 0.0}
{'loss_mask': 10.8350191116333, 'loss_dice': 48.71508026123047, 'loss_llm': 7.875, 'loss_attention': 2.8012499809265137, 'epoch': 0.0}
{'loss_mask': 4.311334133148193, 'loss_dice': 49.353492736816406, 'loss_llm': 8.6875, 'loss_attention': 2.8712499141693115, 'epoch': 0.0}
{'loss_mask': 3.3881187438964844, 'loss_dice': 49.52155685424805, 'loss_llm': 7.125, 'loss_attention': 2.924999952316284, 'epoch': 0.0}
{'loss_mask': 0.6334424018859863, 'loss_dice': 45.40497589111328, 'loss_llm': 7.40625, 'loss_attention': 2.85406231880188, 'epoch': 0.0}
{'loss_mask': 10.945596694946289, 'loss_dice': 49.59029006958008, 'loss_llm': 6.75, 'loss_attention': 2.823437452316284, 'epoch': 0.0}
{'loss_mask': 8.775373458862305, 'loss_dice': 21.314453125, 'loss_llm': 6.9375, 'loss_attention': 2.8118748664855957, 'epoch': 0.0}
{'loss_mask': 3.6409387588500977, 'loss_dice': 46.555206298828125, 'loss_llm': 6.59375, 'loss_attention': 3.0634374618530273, 'epoch': 0.0}
{'loss': 78.1421, 'grad_norm': 264.1518954634873, 'learning_rate': 6.666666666666667e-06, 'epoch': 0.0}
{'loss_mask': 88.30587768554688, 'loss_dice': 49.351707458496094, 'loss_llm': 6.3125, 'loss_attention': 2.002812385559082, 'epoch': 0.0}
{'loss_mask': 7.142552852630615, 'loss_dice': 49.00518035888672, 'loss_llm': 7.71875, 'loss_attention': 2.8081250190734863, 'epoch': 0.0}
{'loss_mask': 26.1258487701416, 'loss_dice': 44.329498291015625, 'loss_llm': 7.28125, 'loss_attention': 2.797499895095825, 'epoch': 0.0}
{'loss_mask': 29.831445693969727, 'loss_dice': 20.22037696838379, 'loss_llm': 6.75, 'loss_attention': 2.7465624809265137, 'epoch': 0.0}
{'loss_mask': 11.333404541015625, 'loss_dice': 49.80368423461914, 'loss_llm': 7.90625, 'loss_attention': 2.8709373474121094, 'epoch': 0.0}
{'loss_mask': 35.7077522277832, 'loss_dice': 48.311946868896484, 'loss_llm': 6.8125, 'loss_attention': 2.815312385559082, 'epoch': 0.0}
{'loss_mask': 76.44451904296875, 'loss_dice': 47.97700881958008, 'loss_llm': 6.28125, 'loss_attention': 2.7356250286102295, 'epoch': 0.0}
