                                                                                                                                                                                        
{'loss_mask': 9.12138557434082, 'loss_dice': 49.69860076904297, 'loss_llm': 7.5625, 'loss_attention': 2.9809374809265137, 'epoch': 0}
{'loss_mask': 46.475074768066406, 'loss_dice': 49.169132232666016, 'loss_llm': 6.53125, 'loss_attention': 2.784374952316284, 'epoch': 0.0}
{'loss_mask': 94.41614532470703, 'loss_dice': 44.92424011230469, 'loss_llm': 6.3125, 'loss_attention': 2.768437385559082, 'epoch': 0.0}
{'loss_mask': 4.899416446685791, 'loss_dice': 49.1789665222168, 'loss_llm': 6.25, 'loss_attention': 2.8268749713897705, 'epoch': 0.0}
{'loss_mask': 32.55034255981445, 'loss_dice': 48.591617584228516, 'loss_llm': 6.75, 'loss_attention': 2.846874952316284, 'epoch': 0.0}
{'loss_mask': 64.74626159667969, 'loss_dice': 48.93437194824219, 'loss_llm': 6.84375, 'loss_attention': 2.755625009536743, 'epoch': 0.0}
{'loss_mask': 24.29810333251953, 'loss_dice': 49.83439636230469, 'loss_llm': 7.03125, 'loss_attention': 2.766249895095825, 'epoch': 0.0}
{'loss_mask': 33.65472412109375, 'loss_dice': 49.9311637878418, 'loss_llm': 6.875, 'loss_attention': 2.8003125190734863, 'epoch': 0.0}
{'loss_mask': 65.75642395019531, 'loss_dice': 48.841678619384766, 'loss_llm': 6.5, 'loss_attention': 2.7874999046325684, 'epoch': 0.0}
{'loss_mask': 62.616546630859375, 'loss_dice': 49.61766052246094, 'loss_llm': 6.25, 'loss_attention': 2.820937395095825, 'epoch': 0.0}
{'loss': 102.2301, 'grad_norm': 4303.404204812743, 'learning_rate': 6.666666666666667e-07, 'epoch': 0.0}
{'loss_mask': 36.939449310302734, 'loss_dice': 49.327796936035156, 'loss_llm': 6.875, 'loss_attention': 2.755312442779541, 'epoch': 0.0}
{'loss_mask': 32.06327438354492, 'loss_dice': 47.557430267333984, 'loss_llm': 6.46875, 'loss_attention': 2.747187376022339, 'epoch': 0.0}
{'loss_mask': 4.280670166015625, 'loss_dice': 49.8545036315918, 'loss_llm': 6.25, 'loss_attention': 3.390937328338623, 'epoch': 0.0}
{'loss_mask': 4.908648490905762, 'loss_dice': 49.597076416015625, 'loss_llm': 6.15625, 'loss_attention': 2.770937442779541, 'epoch': 0.0}
{'loss_mask': 58.637813568115234, 'loss_dice': 48.22234344482422, 'loss_llm': 6.09375, 'loss_attention': 2.723749876022339, 'epoch': 0.0}
{'loss_mask': 7.302201747894287, 'loss_dice': 49.70639419555664, 'loss_llm': 6.125, 'loss_attention': 2.912187337875366, 'epoch': 0.0}
{'loss_mask': 57.11780548095703, 'loss_dice': 49.88806915283203, 'loss_llm': 7.09375, 'loss_attention': 2.768749952316284, 'epoch': 0.0}
{'loss_mask': 31.279489517211914, 'loss_dice': 48.55751037597656, 'loss_llm': 7.125, 'loss_attention': 2.778125047683716, 'epoch': 0.0}
{'loss_mask': 7.306109428405762, 'loss_dice': 49.797847747802734, 'loss_llm': 6.03125, 'loss_attention': 2.7899999618530273, 'epoch': 0.0}
{'loss_mask': 14.906805038452148, 'loss_dice': 47.45956039428711, 'loss_llm': 6.15625, 'loss_attention': 2.8578124046325684, 'epoch': 0.0}
{'loss': 83.7581, 'grad_norm': 682.6754725206187, 'learning_rate': 1.3333333333333334e-06, 'epoch': 0.0}
{'loss_mask': 62.56181335449219, 'loss_dice': 49.358116149902344, 'loss_llm': 6.28125, 'loss_attention': 2.8343749046325684, 'epoch': 0.0}
{'loss_mask': 29.281604766845703, 'loss_dice': 49.85775375366211, 'loss_llm': 6.46875, 'loss_attention': 2.734062433242798, 'epoch': 0.0}
{'loss_mask': 57.97755432128906, 'loss_dice': 40.7133674621582, 'loss_llm': 6.9375, 'loss_attention': 2.6343748569488525, 'epoch': 0.0}
{'loss_mask': 19.085556030273438, 'loss_dice': 49.91883850097656, 'loss_llm': 6.5, 'loss_attention': 2.7903125286102295, 'epoch': 0.0}
{'loss_mask': 19.069067001342773, 'loss_dice': 49.70861053466797, 'loss_llm': 6.9375, 'loss_attention': 3.015937328338623, 'epoch': 0.0}
{'loss_mask': 38.16474914550781, 'loss_dice': 49.796783447265625, 'loss_llm': 6.25, 'loss_attention': 3.0068750381469727, 'epoch': 0.0}
{'loss_mask': 5.8707780838012695, 'loss_dice': 49.85441970825195, 'loss_llm': 5.84375, 'loss_attention': 2.9056248664855957, 'epoch': 0.0}
{'loss_mask': 12.641741752624512, 'loss_dice': 49.857872009277344, 'loss_llm': 6.15625, 'loss_attention': 2.8040623664855957, 'epoch': 0.0}
{'loss_mask': 26.100566864013672, 'loss_dice': 47.00510787963867, 'loss_llm': 6.46875, 'loss_attention': 2.760937452316284, 'epoch': 0.0}
{'loss_mask': 4.000362873077393, 'loss_dice': 49.47312927246094, 'loss_llm': 6.625, 'loss_attention': 2.833750009536743, 'epoch': 0.0}
{'loss': 85.3087, 'grad_norm': 329.9473283752319, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.0}
{'loss_mask': 83.20262145996094, 'loss_dice': 48.9349365234375, 'loss_llm': 6.65625, 'loss_attention': 1.977968692779541, 'epoch': 0.0}
{'loss_mask': 25.13271141052246, 'loss_dice': 49.73305892944336, 'loss_llm': 7.15625, 'loss_attention': 2.7431249618530273, 'epoch': 0.0}
{'loss_mask': 47.035926818847656, 'loss_dice': 49.02873611450195, 'loss_llm': 6.0625, 'loss_attention': 2.806874990463257, 'epoch': 0.0}
{'loss_mask': 85.19580078125, 'loss_dice': 47.96175003051758, 'loss_llm': 5.84375, 'loss_attention': 2.7153124809265137, 'epoch': 0.0}
