                                                                                                                                                                                        
{'loss_mask': 17.872150421142578, 'loss_dice': 49.81666564941406, 'loss_llm': 7.5625, 'loss_attention': 2.9809374809265137, 'epoch': 0}
{'loss_mask': 15.018383026123047, 'loss_dice': 48.81761169433594, 'loss_llm': 6.53125, 'loss_attention': 2.784374952316284, 'epoch': 0.0}
{'loss_mask': 13.66107177734375, 'loss_dice': 11.465446472167969, 'loss_llm': 6.375, 'loss_attention': 2.767812490463257, 'epoch': 0.0}
{'loss_mask': 3.8386290073394775, 'loss_dice': 49.84225845336914, 'loss_llm': 6.1875, 'loss_attention': 2.8274998664855957, 'epoch': 0.0}
{'loss_mask': 55.77783966064453, 'loss_dice': 48.03935623168945, 'loss_llm': 6.75, 'loss_attention': 2.8481249809265137, 'epoch': 0.0}
{'loss_mask': 60.68428039550781, 'loss_dice': 48.325408935546875, 'loss_llm': 6.8125, 'loss_attention': 2.754999876022339, 'epoch': 0.0}
{'loss_mask': 26.739482879638672, 'loss_dice': 49.9245719909668, 'loss_llm': 7.0, 'loss_attention': 2.765625, 'epoch': 0.0}
{'loss_mask': 34.872711181640625, 'loss_dice': 49.73682403564453, 'loss_llm': 6.90625, 'loss_attention': 2.8081250190734863, 'epoch': 0.0}
{'loss_mask': 40.90890884399414, 'loss_dice': 49.25339889526367, 'loss_llm': 6.46875, 'loss_attention': 2.7890625, 'epoch': 0.0}
{'loss_mask': 60.94690704345703, 'loss_dice': 49.30807876586914, 'loss_llm': 6.21875, 'loss_attention': 2.817812442779541, 'epoch': 0.0}
{'loss': 87.9807, 'grad_norm': 4256.984650254214, 'learning_rate': 6.666666666666667e-07, 'epoch': 0.0}
{'loss_mask': 32.81405258178711, 'loss_dice': 48.459022521972656, 'loss_llm': 6.90625, 'loss_attention': 2.754687547683716, 'epoch': 0.0}
{'loss_mask': 25.749887466430664, 'loss_dice': 48.4315071105957, 'loss_llm': 6.4375, 'loss_attention': 2.7412500381469727, 'epoch': 0.0}
{'loss_mask': 21.83477020263672, 'loss_dice': 49.9541015625, 'loss_llm': 6.28125, 'loss_attention': 3.3871874809265137, 'epoch': 0.0}
{'loss_mask': 3.848506450653076, 'loss_dice': 49.69281005859375, 'loss_llm': 6.15625, 'loss_attention': 2.771250009536743, 'epoch': 0.0}
{'loss_mask': 205.5035400390625, 'loss_dice': 49.57378387451172, 'loss_llm': 6.125, 'loss_attention': 2.726874828338623, 'epoch': 0.0}
{'loss_mask': 6.698779106140137, 'loss_dice': 48.66771697998047, 'loss_llm': 6.09375, 'loss_attention': 2.914687395095825, 'epoch': 0.0}
{'loss_mask': 30.59954071044922, 'loss_dice': 49.54156494140625, 'loss_llm': 7.09375, 'loss_attention': 2.7665624618530273, 'epoch': 0.0}
