                                                                                                                                                                                  
{'loss_mask': 12.518122673034668, 'loss_dice': 49.759010314941406, 'loss_llm': 7.5625, 'loss_attention': 2.9809374809265137, 'epoch': 0}
{'loss_mask': 40.558326721191406, 'loss_dice': 49.106658935546875, 'loss_llm': 6.53125, 'loss_attention': 2.784374952316284, 'epoch': 0.0}
{'loss_mask': 57.81714630126953, 'loss_dice': 41.624603271484375, 'loss_llm': 6.3125, 'loss_attention': 2.7665624618530273, 'epoch': 0.0}
{'loss_mask': 5.1474528312683105, 'loss_dice': 49.229454040527344, 'loss_llm': 6.1875, 'loss_attention': 2.826249837875366, 'epoch': 0.0}
{'loss_mask': 32.741737365722656, 'loss_dice': 49.02827453613281, 'loss_llm': 6.75, 'loss_attention': 2.849375009536743, 'epoch': 0.0}
{'loss_mask': 49.90471649169922, 'loss_dice': 46.24207305908203, 'loss_llm': 6.875, 'loss_attention': 2.755312442779541, 'epoch': 0.0}
{'loss_mask': 17.662975311279297, 'loss_dice': 48.009124755859375, 'loss_llm': 7.03125, 'loss_attention': 2.768437385559082, 'epoch': 0.0}
{'loss_mask': 12.118562698364258, 'loss_dice': 33.234535217285156, 'loss_llm': 6.90625, 'loss_attention': 2.812812328338623, 'epoch': 0.0}
{'loss_mask': 39.826656341552734, 'loss_dice': 49.32697677612305, 'loss_llm': 6.4375, 'loss_attention': 2.7899999618530273, 'epoch': 0.0}
{'loss_mask': 67.34376525878906, 'loss_dice': 49.59814453125, 'loss_llm': 6.25, 'loss_attention': 2.818125009536743, 'epoch': 0.0}
{'loss': 89.5794, 'grad_norm': 4050.9561255646795, 'learning_rate': 6.666666666666667e-07, 'epoch': 0.0}
{'loss_mask': 25.54363441467285, 'loss_dice': 48.313392639160156, 'loss_llm': 6.875, 'loss_attention': 2.755312442779541, 'epoch': 0.0}
{'loss_mask': 18.57758140563965, 'loss_dice': 47.50703048706055, 'loss_llm': 6.5, 'loss_attention': 2.742812395095825, 'epoch': 0.0}
{'loss_mask': 27.16292953491211, 'loss_dice': 49.931549072265625, 'loss_llm': 6.25, 'loss_attention': 3.3915624618530273, 'epoch': 0.0}
{'loss_mask': 2.4479854106903076, 'loss_dice': 48.92255401611328, 'loss_llm': 6.15625, 'loss_attention': 2.771562337875366, 'epoch': 0.0}
{'loss_mask': 40.73265838623047, 'loss_dice': 46.53935623168945, 'loss_llm': 6.125, 'loss_attention': 2.727187395095825, 'epoch': 0.0}
{'loss_mask': 19.449371337890625, 'loss_dice': 48.86825942993164, 'loss_llm': 6.09375, 'loss_attention': 2.9128124713897705, 'epoch': 0.0}
{'loss_mask': 38.09324264526367, 'loss_dice': 49.830169677734375, 'loss_llm': 7.125, 'loss_attention': 2.768749952316284, 'epoch': 0.0}
{'loss_mask': 18.850013732910156, 'loss_dice': 47.765296936035156, 'loss_llm': 7.09375, 'loss_attention': 2.778749942779541, 'epoch': 0.0}
{'loss_mask': 32.32037353515625, 'loss_dice': 32.13652038574219, 'loss_llm': 6.03125, 'loss_attention': 2.7903125286102295, 'epoch': 0.0}
{'loss_mask': 5.621702194213867, 'loss_dice': 49.27836227416992, 'loss_llm': 6.15625, 'loss_attention': 2.8584375381469727, 'epoch': 0.0}
{'loss': 79.0796, 'grad_norm': 533.1192191308063, 'learning_rate': 1.3333333333333334e-06, 'epoch': 0.0}
{'loss_mask': 69.80418395996094, 'loss_dice': 47.94171142578125, 'loss_llm': 6.28125, 'loss_attention': 2.833437442779541, 'epoch': 0.0}
{'loss_mask': 48.70637512207031, 'loss_dice': 48.72657775878906, 'loss_llm': 6.40625, 'loss_attention': 2.7356250286102295, 'epoch': 0.0}
{'loss_mask': 53.06660461425781, 'loss_dice': 39.16250991821289, 'loss_llm': 6.9375, 'loss_attention': 2.6337499618530273, 'epoch': 0.0}
{'loss_mask': 9.620475769042969, 'loss_dice': 49.389461517333984, 'loss_llm': 6.53125, 'loss_attention': 2.79156231880188, 'epoch': 0.0}
{'loss_mask': 33.57975387573242, 'loss_dice': 49.97162628173828, 'loss_llm': 7.0, 'loss_attention': 3.021562337875366, 'epoch': 0.0}
{'loss_mask': 20.45372200012207, 'loss_dice': 49.42591094970703, 'loss_llm': 6.21875, 'loss_attention': 3.01812481880188, 'epoch': 0.0}
{'loss_mask': 0.946683406829834, 'loss_dice': 46.79149627685547, 'loss_llm': 5.875, 'loss_attention': 2.898124933242798, 'epoch': 0.0}
{'loss_mask': 9.295592308044434, 'loss_dice': 49.66974639892578, 'loss_llm': 6.15625, 'loss_attention': 2.802500009536743, 'epoch': 0.0}
{'loss_mask': 8.071174621582031, 'loss_dice': 22.967069625854492, 'loss_llm': 6.4375, 'loss_attention': 2.7621874809265137, 'epoch': 0.0}
{'loss_mask': 7.911517143249512, 'loss_dice': 49.15786361694336, 'loss_llm': 6.625, 'loss_attention': 2.8315625190734863, 'epoch': 0.0}
{'loss': 80.7457, 'grad_norm': 611.5365225863711, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.0}
{'loss_mask': 45.737918853759766, 'loss_dice': 48.5084228515625, 'loss_llm': 6.625, 'loss_attention': 1.9792187213897705, 'epoch': 0.0}
{'loss_mask': 5.863882064819336, 'loss_dice': 49.421783447265625, 'loss_llm': 7.1875, 'loss_attention': 2.7437498569488525, 'epoch': 0.0}
{'loss_mask': 45.09619140625, 'loss_dice': 49.346675872802734, 'loss_llm': 6.09375, 'loss_attention': 2.8062498569488525, 'epoch': 0.0}
{'loss_mask': 26.866252899169922, 'loss_dice': 19.748050689697266, 'loss_llm': 5.875, 'loss_attention': 2.7146873474121094, 'epoch': 0.0}
{'loss_mask': 5.827098846435547, 'loss_dice': 49.251426696777344, 'loss_llm': 6.59375, 'loss_attention': 2.8140623569488525, 'epoch': 0.0}
{'loss_mask': 66.33854675292969, 'loss_dice': 48.72257995605469, 'loss_llm': 6.84375, 'loss_attention': 2.8062498569488525, 'epoch': 0.0}
{'loss_mask': 60.0627555847168, 'loss_dice': 44.95329284667969, 'loss_llm': 5.8125, 'loss_attention': 2.7046873569488525, 'epoch': 0.0}
{'loss_mask': 12.850831031799316, 'loss_dice': 44.54376220703125, 'loss_llm': 6.875, 'loss_attention': 2.869999885559082, 'epoch': 0.0}
{'loss_mask': 80.63670349121094, 'loss_dice': 49.66835403442383, 'loss_llm': 6.3125, 'loss_attention': 2.900624990463257, 'epoch': 0.0}
{'loss_mask': 17.308345794677734, 'loss_dice': 49.638145446777344, 'loss_llm': 6.34375, 'loss_attention': 2.7596874237060547, 'epoch': 0.0}
{'loss': 91.2053, 'grad_norm': 818.0721472376, 'learning_rate': 2.666666666666667e-06, 'epoch': 0.0}
{'loss_mask': 36.23609161376953, 'loss_dice': 46.662254333496094, 'loss_llm': 6.1875, 'loss_attention': 2.7925000190734863, 'epoch': 0.0}
{'loss_mask': 41.32181167602539, 'loss_dice': 48.51870346069336, 'loss_llm': 5.90625, 'loss_attention': 2.833750009536743, 'epoch': 0.0}
