                                                                                                                     
{'loss_mask': 19.387964248657227, 'loss_dice': 49.71327590942383, 'loss_llm': 7.5625, 'loss_attention': 2.9809374809265137, 'epoch': 0}
{'loss_mask': 48.88541793823242, 'loss_dice': 49.00453186035156, 'loss_llm': 6.53125, 'loss_attention': 2.784374952316284, 'epoch': 0.0}
{'loss_mask': 92.3611831665039, 'loss_dice': 43.76832962036133, 'loss_llm': 6.34375, 'loss_attention': 2.7665624618530273, 'epoch': 0.0}
{'loss_mask': 37.809669494628906, 'loss_dice': 49.55671310424805, 'loss_llm': 6.21875, 'loss_attention': 2.8265624046325684, 'epoch': 0.0}
{'loss_mask': 39.66060256958008, 'loss_dice': 48.296958923339844, 'loss_llm': 6.75, 'loss_attention': 2.848437547683716, 'epoch': 0.0}
{'loss_mask': 61.245601654052734, 'loss_dice': 47.843441009521484, 'loss_llm': 6.8125, 'loss_attention': 2.757499933242798, 'epoch': 0.0}
{'loss_mask': 28.695831298828125, 'loss_dice': 49.684295654296875, 'loss_llm': 7.0, 'loss_attention': 2.7671873569488525, 'epoch': 0.0}
{'loss_mask': 37.7177848815918, 'loss_dice': 49.887027740478516, 'loss_llm': 6.875, 'loss_attention': 2.8084373474121094, 'epoch': 0.0}
{'loss_mask': 26.967308044433594, 'loss_dice': 49.87198257446289, 'loss_llm': 6.46875, 'loss_attention': 2.7874999046325684, 'epoch': 0.0}
{'loss_mask': 63.48059844970703, 'loss_dice': 49.59303283691406, 'loss_llm': 6.25, 'loss_attention': 2.823124885559082, 'epoch': 0.0}
{'loss': 103.8395, 'grad_norm': 4348.095513411589, 'learning_rate': 2.2222222222222225e-06, 'epoch': 0.0}
{'loss_mask': 23.780298233032227, 'loss_dice': 46.474098205566406, 'loss_llm': 6.9375, 'loss_attention': 2.755312442779541, 'epoch': 0.0}
{'loss_mask': 62.35850143432617, 'loss_dice': 49.374534606933594, 'loss_llm': 6.46875, 'loss_attention': 2.7412500381469727, 'epoch': 0.0}
{'loss_mask': 4.747311115264893, 'loss_dice': 49.85346221923828, 'loss_llm': 6.25, 'loss_attention': 3.3999998569488525, 'epoch': 0.0}
{'loss_mask': 5.064971923828125, 'loss_dice': 49.70124053955078, 'loss_llm': 6.15625, 'loss_attention': 2.7718749046325684, 'epoch': 0.0}
{'loss_mask': 102.09028625488281, 'loss_dice': 49.93031692504883, 'loss_llm': 6.0625, 'loss_attention': 2.7249999046325684, 'epoch': 0.0}
{'loss_mask': 8.853618621826172, 'loss_dice': 49.14570617675781, 'loss_llm': 6.09375, 'loss_attention': 2.9140625, 'epoch': 0.0}
{'loss_mask': 38.59608459472656, 'loss_dice': 48.62942123413086, 'loss_llm': 7.09375, 'loss_attention': 2.768749952316284, 'epoch': 0.0}
{'loss_mask': 31.333620071411133, 'loss_dice': 46.70586395263672, 'loss_llm': 7.09375, 'loss_attention': 2.778749942779541, 'epoch': 0.0}
{'loss_mask': 29.73197364807129, 'loss_dice': 49.549400329589844, 'loss_llm': 6.03125, 'loss_attention': 2.7890625, 'epoch': 0.0}
{'loss_mask': 35.199974060058594, 'loss_dice': 49.46063232421875, 'loss_llm': 6.15625, 'loss_attention': 2.859062433242798, 'epoch': 0.0}
{'loss': 92.3428, 'grad_norm': 2486.127433819011, 'learning_rate': 4.444444444444445e-06, 'epoch': 0.0}
{'loss_mask': 51.398529052734375, 'loss_dice': 49.00399398803711, 'loss_llm': 6.25, 'loss_attention': 2.833124876022339, 'epoch': 0.0}
{'loss_mask': 52.87031173706055, 'loss_dice': 49.87269973754883, 'loss_llm': 6.375, 'loss_attention': 2.734062433242798, 'epoch': 0.0}
{'loss_mask': 72.4515609741211, 'loss_dice': 41.2664680480957, 'loss_llm': 6.90625, 'loss_attention': 2.6321873664855957, 'epoch': 0.0}
{'loss_mask': 37.33741760253906, 'loss_dice': 49.637725830078125, 'loss_llm': 6.5, 'loss_attention': 2.7931249141693115, 'epoch': 0.0}
{'loss_mask': 6.396117210388184, 'loss_dice': 49.1338996887207, 'loss_llm': 6.90625, 'loss_attention': 3.020937442779541, 'epoch': 0.0}
{'loss_mask': 31.09033966064453, 'loss_dice': 49.938385009765625, 'loss_llm': 6.15625, 'loss_attention': 3.01031231880188, 'epoch': 0.0}
{'loss_mask': 0.7373929619789124, 'loss_dice': 46.07424545288086, 'loss_llm': 5.75, 'loss_attention': 2.8999998569488525, 'epoch': 0.0}
{'loss_mask': 12.134337425231934, 'loss_dice': 49.62939453125, 'loss_llm': 6.03125, 'loss_attention': 2.802187442779541, 'epoch': 0.0}
{'loss_mask': 15.780397415161133, 'loss_dice': 49.4950065612793, 'loss_llm': 6.375, 'loss_attention': 2.7621874809265137, 'epoch': 0.0}
{'loss_mask': 6.309291839599609, 'loss_dice': 46.97267532348633, 'loss_llm': 6.4375, 'loss_attention': 2.830312490463257, 'epoch': 0.0}
{'loss': 85.9536, 'grad_norm': 524.472247295883, 'learning_rate': 6.666666666666667e-06, 'epoch': 0.0}
{'loss_mask': 92.49739074707031, 'loss_dice': 48.96660614013672, 'loss_llm': 6.46875, 'loss_attention': 1.9757812023162842, 'epoch': 0.0}
{'loss_mask': 6.293446063995361, 'loss_dice': 49.43927001953125, 'loss_llm': 7.03125, 'loss_attention': 2.742812395095825, 'epoch': 0.0}
