                                                                                                                       
{'loss_mask': 3.745924472808838, 'loss_dice': 49.56681823730469, 'loss_llm': 7.5625, 'loss_attention': 0.0, 'loss_itaa': 0.055154405534267426, 'epoch': 0}
{'loss_mask': 33.71086502075195, 'loss_dice': 46.25200271606445, 'loss_llm': 6.53125, 'loss_attention': 0.0, 'loss_itaa': 0.053284790366888046, 'epoch': 0.0}
{'loss_mask': 137.66482543945312, 'loss_dice': 47.3631591796875, 'loss_llm': 6.34375, 'loss_attention': 0.0, 'loss_itaa': 0.05674241483211517, 'epoch': 0.0}
{'loss_mask': 31.730270385742188, 'loss_dice': 49.51219177246094, 'loss_llm': 6.21875, 'loss_attention': 0.0, 'loss_itaa': 0.05921933799982071, 'epoch': 0.0}
{'loss_mask': 40.287879943847656, 'loss_dice': 46.81135940551758, 'loss_llm': 6.78125, 'loss_attention': 0.0, 'loss_itaa': 0.05753694474697113, 'epoch': 0.0}
{'loss_mask': 63.08462905883789, 'loss_dice': 48.74779510498047, 'loss_llm': 6.84375, 'loss_attention': 0.0, 'loss_itaa': 0.053212229162454605, 'epoch': 0.0}
{'loss_mask': 13.360393524169922, 'loss_dice': 48.698646545410156, 'loss_llm': 7.03125, 'loss_attention': 0.0, 'loss_itaa': 0.057044968008995056, 'epoch': 0.0}
{'loss_mask': 16.686166763305664, 'loss_dice': 28.857437133789062, 'loss_llm': 6.90625, 'loss_attention': 0.0, 'loss_itaa': 0.056669931858778, 'epoch': 0.0}
{'loss_mask': 75.09869384765625, 'loss_dice': 48.66932678222656, 'loss_llm': 6.46875, 'loss_attention': 0.0, 'loss_itaa': 0.054385047405958176, 'epoch': 0.0}
{'loss_mask': 108.1417236328125, 'loss_dice': 49.61680221557617, 'loss_llm': 6.21875, 'loss_attention': 0.0, 'loss_itaa': 0.05718185007572174, 'epoch': 0.0}
{'loss': 105.5074, 'grad_norm': 3622.940943228995, 'learning_rate': 2.2222222222222225e-06, 'epoch': 0.0}
{'loss_mask': 40.62860107421875, 'loss_dice': 47.72514724731445, 'loss_llm': 6.9375, 'loss_attention': 0.0, 'loss_itaa': 0.05434726923704147, 'epoch': 0.0}
{'loss_mask': 18.020132064819336, 'loss_dice': 46.14652633666992, 'loss_llm': 6.46875, 'loss_attention': 0.0, 'loss_itaa': 0.05562228709459305, 'epoch': 0.0}
{'loss_mask': 3.2439489364624023, 'loss_dice': 48.794193267822266, 'loss_llm': 6.25, 'loss_attention': 0.0, 'loss_itaa': 0.05947277694940567, 'epoch': 0.0}
{'loss_mask': 2.68795108795166, 'loss_dice': 49.70713806152344, 'loss_llm': 6.15625, 'loss_attention': 0.0, 'loss_itaa': 0.05471163988113403, 'epoch': 0.0}
{'loss_mask': 81.12837982177734, 'loss_dice': 49.879329681396484, 'loss_llm': 6.09375, 'loss_attention': 0.0, 'loss_itaa': 0.058697473257780075, 'epoch': 0.0}
{'loss_mask': 32.940521240234375, 'loss_dice': 49.54683303833008, 'loss_llm': 6.09375, 'loss_attention': 0.0, 'loss_itaa': 0.05488325282931328, 'epoch': 0.0}
{'loss_mask': 39.39521789550781, 'loss_dice': 48.73491668701172, 'loss_llm': 7.09375, 'loss_attention': 0.0, 'loss_itaa': 0.052722107619047165, 'epoch': 0.0}
